NO,KOTA,TUJUAN BONGKAR, TARIF , TONASE , JUMLAH , SANGU SUPIR , PROFIT , TAMBAHAN TONASE ,,,,,
39,SLEMAN,APB AK BP MARGOMULYO SEYEGAN,  157.967 ,  31 ,  4.896.971 ,  2.546.425 ,  2.350.546 ,  50.000 ,,,,,
40,SLEMAN,APB PBR MARGOREJO SLEMAN,  157.967 ,  31 ,  4.896.971 ,  2.546.425 ,  2.350.546 ,  50.000 ,,,,,
41,BANTUL,RDM SURADI / PRY APBD BANTUL,  175.442 ,  31 ,  5.438.705 ,  2.828.127 ,  2.610.578 ,  50.000 ,,,,,
42,GUNUNG KIDUL,BEJO LUMINTU MINULYO PT.,  170.104 ,  31 ,  5.273.233 ,  2.794.814 ,  2.478.420 ,  50.000 ,,,,,
43,GRESIK,RDM VUB GRESIK / PRY GRS SBY,  76.309 ,  31 ,  2.365.564 ,  1.450.000 ,  915.564 ,  25.000 ,,,,,
44,SIDOARJO,RDM VUB LINGKAR SIDOARJO,  92.206 ,  31 ,  2.858.389 ,  1.572.114 ,  1.286.275 ,  30.000 ,,,,,
45,SIDOARJO,PT. BETON INTI GUNA,  92.206 ,  31 ,  2.858.389 ,  1.572.114 ,  1.286.275 ,  30.000 ,,,,,
46,SIDOARJO,SAKURA BETON CV.,  92.206 ,  31 ,  2.858.389 ,  1.572.114 ,  1.286.275 ,  30.000 ,,,,,
47,MOJOKERTO,APB PBR MOJOKERTO,  104.129 ,  31 ,  3.228.008 ,  1.743.124 ,  1.484.884 ,  30.000 ,,,,,
48,MOJOKERTO,APB PBR MOJOKERTO,  104.129 ,  31 ,  3.228.008 ,  1.743.124 ,  1.484.884 ,  30.000 ,,,,,
49,MOJOKERTO,APB PBR MOJOKERTO,  104.129 ,  31 ,  3.228.008 ,  1.743.124 ,  1.484.884 ,  30.000 ,,,,,
50,MOJOKERTO,APB PBR MOJOKERTO,  104.129 ,  31 ,  3.228.008 ,  1.743.124 ,  1.484.884 ,  30.000 ,,,,,
51,PASURUAN,PBR VUB PANDAAN,  114.757 ,  31 ,  3.557.452 ,  1.849.875 ,  1.707.577 ,  35.000 ,,,,,
