NO.,MOVEMENT,MATERIAL GROUP,SALES DISTRICT,City Code,City Desc,"Jarak
(Km)",OA ,TONASE,,,,,,
,,,,,,,SATRIA PERWIRA,,JUMLAH,SANGU ,PROFIT, TAMBAHAN ,,
34,DOMESTIK,CURAH,GRESIK,DG12,GRESIK,130,"  85.518,40 ",31,"  2.651.070,40 ","  1.325.535,20 ","  1.325.535,20 ",  35.000 ,,
35,DOMESTIK,CURAH,GRESIK,DG13,DRIYOREJO,160,"  98.384,00 ",31,"  3.049.904,00 ","  1.524.952,00 ","  1.524.952,00 ",  35.000 ,,
36,DOMESTIK,CURAH,GRESIK,DG14,MANYAR,130,"  85.518,40 ",31,"  2.651.070,40 ","  1.325.535,20 ","  1.325.535,20 ",  35.000 ,,
37,DOMESTIK,CURAH,GRESIK,DB48,WRINGIN ANOM,170,"  106.708,80 ",31,"  3.307.972,80 ","  1.653.986,40 ","  1.653.986,40 ",  35.000 ,,
38,DOMESTIK,CURAH,GRESIK,DG16,KEDAMEAN,160,"  102.168,00 ",31,"  3.167.208,00 ","  1.583.604,00 ","  1.583.604,00 ",  35.000 ,,
39,DOMESTIK,CURAH,GROBOGAN,BH04,GROBOGAN,180,"  109.736,00 ",31,"  3.401.816,00 ","  1.700.908,00 ","  1.700.908,00 ",  35.000 ,,
40,DOMESTIK,CURAH,GROBOGAN,BH10,KUWU,180,"  109.736,00 ",31,"  3.401.816,00 ","  1.700.908,00 ","  1.700.908,00 ",  35.000 ,,
41,DOMESTIK,CURAH,GROBOGAN,BH16,PURWODADI - JATENG,180,"  109.736,00 ",31,"  3.401.816,00 ","  1.700.908,00 ","  1.700.908,00 ",  35.000 ,,
42,DOMESTIK,CURAH,GUNUNG KIDUL,CA22,WONOSARI - YOGASARI,350,"  194.497,60 ",31,"  6.029.425,60 ","  3.014.712,80 ","  3.014.712,80 ",  50.000 ,,
43,DOMESTIK,CURAH,INDRAMAYU,AF10,INDRAMAYU,500,"  296.816,96 ",31,"  9.201.325,76 ","  4.600.662,88 ","  4.600.662,88 ",  100.000 ,,
44,DOMESTIK,CURAH,JAKARTA TIMUR,AA05,JAKARTA TIMUR,650,"  342.830,40 ",25,"  8.570.760,00 ","  4.713.918,00 ","  3.856.842,00 ",  100.000 ,,
45,DOMESTIK,CURAH,JEMBER,DJ04,RAMBIPUJI,310,"  179.361,60 ",31,"  5.560.209,60 ","  2.780.104,80 ","  2.780.104,80 ",  100.000 ,,
46,DOMESTIK,CURAH,JEMBER,DJ01,JEMBER,310,"  179.361,60 ",31,"  5.560.209,60 ","  2.780.104,80 ","  2.780.104,80 ",  100.000 ,,
47,DOMESTIK,CURAH,JEPARA,BG07,JEPARA,190,"  114.808,30 ",31,"  3.559.057,30 ","  1.800.000,00 ","  1.759.057,30 ",  50.000 ,"  114.276,80 ",
48,STO INTERUNIT,CURAH,JETTY TUBAN,,,10,"  15.968,48 ",31,"  495.022,88 ","  247.511,44 ","  247.511,44 ",,,
49,DOMESTIK,POLLYSLING,JETTY TUBAN,,,10,"  14.227,84 ",31,"  441.063,04 ","  220.531,52 ","  220.531,52 ",,,
50,EKSPOR,CURAH,JETTY TUBAN,,,10,"  15.968,48 ",31,"  495.022,88 ","  247.511,44 ","  247.511,44 ",,,
51,DOMESTIK,CURAH,JOMBANG,DF27,GUDO,220,"  129.412,80 ",31,"  4.011.796,80 ","  2.005.898,40 ","  2.005.898,40 ",  50.000 ,,
52,DOMESTIK,CURAH,JOMBANG,DF37,PLANDAAN,220,"  129.412,80 ",31,"  4.011.796,80 ","  2.005.898,40 ","  2.005.898,40 ",  50.000 ,,
53,DOMESTIK,CURAH,KARANGANYAR,BI22,KARANGANYAR - SUKATE,280,"  164.989,40 ",31,"  5.114.671,40 ","  2.650.000,00 ","  2.464.671,40 ",  50.000 ,,
54,DOMESTIK,CURAH,KARANGASEM,ED01,Karangasem,580,"  346.690,08 ",31,"  10.747.392,48 ","  5.373.696,24 ","  5.373.696,24 ",  50.000 ,,
55,DOMESTIK,CURAH,KEBUMEN,BD01,KEBUMEN,400,"  217.201,60 ",31,"  6.733.249,60 ","  3.366.624,80 ","  3.366.624,80 ",  50.000 ,,
56,DOMESTIK,CURAH,KEDIRI,DD15,KEDIRI KOTA,230,"  137.207,84 ",31,"  4.253.443,04 ","  2.126.721,52 ","  2.126.721,52 ",  50.000 ,,
57,DOMESTIK,CURAH,KEDIRI,DD44,GROGOL,240,"  143.186,56 ",31,"  4.438.783,36 ","  2.219.391,68 ","  2.219.391,68 ",  50.000 ,,
58,DOMESTIK,CURAH,KENDAL,BF30,KENDAL,250,"  145.305,60 ",31,"  4.504.473,60 ","  2.252.236,80 ","  2.252.236,80 ",  50.000 ,,
59,DOMESTIK,CURAH,KENDAL,BF31,KALIWUNGU - KENDAL,250,"  148.938,24 ",31,"  4.617.085,44 ","  2.308.542,72 ","  2.308.542,72 ",  50.000 ,,
60,DOMESTIK,CURAH,KLATEN,BI01,KLATEN,290,"  168.009,60 ",31,"  5.208.297,60 ","  2.604.148,80 ","  2.604.148,80 ",  50.000 ,,
61,DOMESTIK,CURAH,KLATEN,BI85,JUWIRING,290,"  172.777,44 ",31,"  5.356.100,64 ","  2.678.050,32 ","  2.678.050,32 ",  50.000 ,,
62,DOMESTIK,CURAH,KUDUS,BG01,KUDUS,130,"  85.518,40 ",31,"  2.651.070,40 ","  1.325.535,20 ","  1.325.535,20 ",  35.000 ,,
63,DOMESTIK,CURAH,KUDUS,BG02,UNDAAN,170,"  105.195,20 ",31,"  3.261.051,20 ","  1.630.525,60 ","  1.630.525,60 ",  35.000 ,,
64,DOMESTIK,CURAH,KUDUS,BG03,KALIWUNGU,170,"  105.195,20 ",31,"  3.261.051,20 ","  1.630.525,60 ","  1.630.525,60 ",  50.000 ,,
65,DOMESTIK,CURAH,KUNINGAN,AF29,KUNINGAN,470,"  247.473,60 ",31,"  7.671.681,60 ","  3.835.840,80 ","  3.835.840,80 ",  50.000 ,,
66,DOMESTIK,CURAH,MADIUN,DC08,MADIUN,210,"  125.628,80 ",31,"  3.894.492,80 ","  1.947.246,40 ","  1.947.246,40 ",  50.000 ,,
67,DOMESTIK,CURAH,MADIUN,DC11,BALEREJO,210,"  125.628,80 ",31,"  3.894.492,80 ","  1.947.246,40 ","  1.947.246,40 ",  50.000 ,,
68,DOMESTIK,CURAH,MADIUN,DC13,DOLOPO,230,"  134.710,40 ",31,"  4.176.022,40 ","  2.088.011,20 ","  2.088.011,20 ",  50.000 ,,
69,DOMESTIK,CURAH,MADIUN,DC15,MEJAYAN,210,"  125.628,80 ",31,"  3.894.492,80 ","  1.947.246,40 ","  1.947.246,40 ",  50.000 ,,
70,DOMESTIK,CURAH,MAGELANG,BE04,SECANG,290,"  168.009,60 ",31,"  5.208.297,60 ","  2.604.148,80 ","  2.604.148,80 ",  50.000 ,,
71,DOMESTIK,CURAH,MAGELANG,BE07,MAGELANG,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
72,DOMESTIK,CURAH,MAGELANG,BE08,MUNGKID,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
73,DOMESTIK,CURAH,MAGELANG,,SAWANGAN,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
74,DOMESTIK,CURAH,MAGETAN,DC19,MAOSPATI,200,"  121.088,00 ",31,"  3.753.728,00 ","  1.876.864,00 ","  1.876.864,00 ",  50.000 ,,
75,DOMESTIK,CURAH,MAJALENGKA,AF23,MAJALENGKA,490,"  256.555,20 ",31,"  7.953.211,20 ","  3.976.605,60 ","  3.976.605,60 ",  50.000 ,,
76,DOMESTIK,CURAH,MALANG,DE12,MALANG,250,"  148.938,24 ",31,"  4.617.085,44 ","  2.308.542,72 ","  2.308.542,72 ",  50.000 ,,
77,DOMESTIK,CURAH,MALANG,DE12,MALANG,250,"  148.938,24 ",31,"  4.617.085,44 ","  2.308.542,72 ","  2.308.542,72 ",  50.000 ,,
78,DOMESTIK,CURAH,MALANG,DE26,BULULAWANG MALANG,280,"  166.496,00 ",31,"  5.161.376,00 ","  2.580.688,00 ","  2.580.688,00 ",  50.000 ,,
79,DOMESTIK,CURAH,MALANG,DE37,TUMPANG MALANG,280,"  166.496,00 ",31,"  5.161.376,00 ","  2.580.688,00 ","  2.580.688,00 ",  50.000 ,,
80,DOMESTIK,CURAH,MALANG,DE15,LAWANG,230,"  137.207,84 ",31,"  4.253.443,04 ","  2.126.721,52 ","  2.126.721,52 ",  50.000 ,,
81,DOMESTIK,CURAH,MALANG,DE16,SINGOSARI,240,"  143.186,56 ",31,"  4.438.783,36 ","  2.219.391,68 ","  2.219.391,68 ",  50.000 ,,
82,DOMESTIK,CURAH,MALANG,DE18,KARANG PLOSO,250,"  148.938,24 ",31,"  4.617.085,44 ","  2.308.542,72 ","  2.308.542,72 ",  50.000 ,,
83,DOMESTIK,CURAH,MALANG,DE21,PAKISAJI,280,"  166.496,00 ",31,"  5.161.376,00 ","  2.580.688,00 ","  2.580.688,00 ",  50.000 ,,
84,DOMESTIK,CURAH,MALANG,DE23,TUREN,280,"  166.496,00 ",31,"  5.161.376,00 ","  2.580.688,00 ","  2.580.688,00 ",  50.000 ,,
85,DOMESTIK,CURAH,MOJOKERTO,DF08,MOJOKERTO,190,"  116.547,20 ",31,"  3.612.963,20 ","  1.806.481,60 ","  1.806.481,60 ",  50.000 ,,
86,DOMESTIK,CURAH,MOJOKERTO,DF12,PUNGGING,190,"  115.260,64 ",31,"  3.573.079,84 ","  1.786.539,92 ","  1.786.539,92 ",  50.000 ,,
87,DOMESTIK,CURAH,MOJOKERTO,DF15,GONDANG MOJOKERTO,190,"  116.547,20 ",31,"  3.612.963,20 ","  1.806.481,60 ","  1.806.481,60 ",  50.000 ,,
88,DOMESTIK,CURAH,MOJOKERTO,DF17,TROWULAN MOJOKERTO,210,"  125.628,80 ",31,"  3.894.492,80 ","  1.947.246,40 ","  1.947.246,40 ",  50.000 ,,
89,DOMESTIK,CURAH,MOJOKERTO,DF34,NGORO MOJOKERTO,190,"  115.260,64 ",31,"  3.573.079,84 ","  1.786.539,92 ","  1.786.539,92 ",  50.000 ,,
90,DOMESTIK,CURAH,MOJOKERTO,DF11,MOJOSARI,190,"  116.547,20 ",31,"  3.612.963,20 ","  1.806.481,60 ","  1.806.481,60 ",  50.000 ,,
91,DOMESTIK,CURAH,MOJOKERTO,DF13,BANGSAL,200,"  121.088,00 ",31,"  3.753.728,00 ","  1.876.864,00 ","  1.876.864,00 ",  50.000 ,,
92,DOMESTIK,CURAH,MOJOKERTO,DF14,JATIREJO,210,"  125.628,80 ",31,"  3.894.492,80 ","  1.947.246,40 ","  1.947.246,40 ",  50.000 ,,
93,DOMESTIK,CURAH,MOJOKERTO,DF16,KUTOREJO,190,"  116.547,20 ",31,"  3.612.963,20 ","  1.806.481,60 ","  1.806.481,60 ",  50.000 ,,
94,DOMESTIK,CURAH,NGANJUK,DD08,TANJUNGANOM,240,"  140.008,00 ",31,"  4.340.248,00 ","  2.170.124,00 ","  2.170.124,00 ",  50.000 ,,
95,DOMESTIK,CURAH,NGAWI,DC03,GENENG,200,"  122.374,56 ",31,"  3.793.611,36 ","  1.896.805,68 ","  1.896.805,68 ",  50.000 ,,
96,DOMESTIK,CURAH,NGAWI,DC01,NGAWI,200,"  122.374,56 ",31,"  3.793.611,36 ","  1.896.805,68 ","  1.896.805,68 ",  50.000 ,,
97,DOMESTIK,CURAH,PACITAN,DC25,PACITAN,380,"  197.524,80 ",31,"  6.123.268,80 ","  3.061.634,40 ","  3.061.634,40 ",  50.000 ,,
98,DOMESTIK,CURAH,PAMEKASAN,DJ49,PAMEKASAN,250,"  147.576,00 ",31,"  4.574.856,00 ","  2.287.428,00 ","  2.287.428,00 ",  50.000 ,,
99,DOMESTIK,CURAH,PANGANDARAN,AH36,PANGANDARAN,550,"  283.043,20 ",31,"  8.774.339,20 ","  4.387.169,60 ","  4.387.169,60 ",  50.000 ,,
100,DOMESTIK,CURAH,PASURUAN,DH02,PANDAAN,180,"  112.611,84 ",31,"  3.490.967,04 ","  1.745.483,52 ","  1.745.483,52 ",  50.000 ,,
101,DOMESTIK,CURAH,PASURUAN,DH04,BEJI PASURUAN,190,"  117.531,04 ",31,"  3.643.462,24 ","  1.821.731,12 ","  1.821.731,12 ",  50.000 ,,
102,DOMESTIK,CURAH,PASURUAN,DH06,PURWOSARI - PASURUAN,210,"  127.142,40 ",31,"  3.941.414,40 ","  1.970.707,20 ","  1.970.707,20 ",  50.000 ,,
103,DOMESTIK,CURAH,PASURUAN,DH07,POHJANTREK,220,"  131.683,20 ",31,"  4.082.179,20 ","  2.041.089,60 ","  2.041.089,60 ",  50.000 ,,
104,DOMESTIK,CURAH,PASURUAN,DH10,NGULING,230,"  137.207,84 ",31,"  4.253.443,04 ","  2.126.721,52 ","  2.126.721,52 ",  50.000 ,,
105,DOMESTIK,CURAH,PASURUAN,DH01,PASURUAN,190,"  117.531,04 ",31,"  3.643.462,24 ","  1.821.731,12 ","  1.821.731,12 ",  50.000 ,,
106,DOMESTIK,CURAH,PASURUAN,DH12,PURWODADI,210,"  127.142,40 ",31,"  3.941.414,40 ","  1.970.707,20 ","  1.970.707,20 ",  50.000 ,,
107,DOMESTIK,CURAH,PASURUAN,DH14,GEMPOL,180,"  112.611,84 ",31,"  3.490.967,04 ","  1.745.483,52 ","  1.745.483,52 ",  50.000 ,,
108,DOMESTIK,CURAH,PATI,BG13,PATI,140,"  91.194,40 ",31,"  2.827.026,40 ","  1.413.513,20 ","  1.413.513,20 ",  35.000 ,,
109,DOMESTIK,CURAH,PEKALONGAN,BB14,PEKALONGAN,320,"  178.604,80 ",31,"  5.536.748,80 ","  2.768.374,40 ","  2.768.374,40 ",  100.000 ,,
110,DOMESTIK,CURAH,PEKALONGAN,BB20,KAJEN,330,"  183.145,60 ",31,"  5.677.513,60 ","  2.838.756,80 ","  2.838.756,80 ",  100.000 ,,
111,DOMESTIK,CURAH,PEKALONGAN,BB22,BATANG,310,"  174.064,00 ",31,"  5.395.984,00 ","  2.697.992,00 ","  2.697.992,00 ",  100.000 ,,
112,DOMESTIK,JUMBO BAG,PELABUHAN SURABAYA,,,130,"  68.036,32 ",31,"  2.109.125,92 ","  1.054.562,96 ","  1.054.562,96 ",,,
113,DOMESTIK,CURAH,PEMALANG,BB01,PEMALANG,350,"  192.227,20 ",31,"  5.959.043,20 ","  2.979.521,60 ","  2.979.521,60 ",  100.000 ,,
114,DOMESTIK,CURAH,PROBOLINGGO,DH17,PROBOLINGGO,240,"  143.186,56 ",31,"  4.438.783,36 ","  2.219.391,68 ","  2.219.391,68 ",  50.000 ,,
115,DOMESTIK,CURAH,PURWAKARTA,AE05,PURWAKARTA,580,"  296.665,60 ",31,"  9.196.633,60 ","  4.598.316,80 ","  4.598.316,80 ",  100.000 ,,
116,DOMESTIK,CURAH,PURWOREJO,BD10,PURWOREJO,340,"  190.713,60 ",31,"  5.912.121,60 ","  2.956.060,80 ","  2.956.060,80 ",  100.000 ,,
117,DOMESTIK,CURAH,REMBANG,BJ01,REMBANG - JATENG,100,"  68.490,40 ",31,"  2.123.202,40 ","  1.061.601,20 ","  1.061.601,20 ",  30.000 ,,
118,DOMESTIK,CURAH,SALATIGA,BF24,SALATIGA,270,"  147.576,00 ",30,"  4.427.280,00 ","  2.744.913,60 ","  1.682.366,40 ",  50.000 ,,
119,DOMESTIK,CURAH,SAMPANG,DJ37,SAMPANG - MADURA,220,"  131.758,88 ",31,"  4.084.525,28 ","  2.042.262,64 ","  2.042.262,64 ",  50.000 ,,
120,DOMESTIK,CURAH,SEMARANG,BF09,SEMARANG,240,"  133.056,00 ",30,"  3.991.680,00 ","  2.155.507,20 ","  1.836.172,80 ",  50.000 ,UJ Normal 1.950,
121,DOMESTIK,CURAH,SEMARANG,BF12,SAYUNG,200,"  120.890,90 ",31,"  3.747.617,90 ","  1.900.000,00 ","  1.847.617,90 ",  50.000 ,"  120.331,20 ",
122,DOMESTIK,CURAH,SEMARANG,BF11,UNGARAN,250,"  142.278,40 ",31,"  4.410.630,40 ","  2.558.165,63 ","  1.852.464,77 ",  50.000 ,,
123,DOMESTIK,CURAH,SEMARANG,BF13,GENUK,200,"  120.331,20 ",31,"  3.730.267,20 ","  1.865.133,60 ","  1.865.133,60 ",  50.000 ,,
124,DOMESTIK,CURAH,SEMARANG,BF14,TUGU - SEMARANG,240,"  137.737,60 ",31,"  4.269.865,60 ","  2.049.535,49 ","  2.220.330,11 ",  50.000 ,,
125,DOMESTIK,CURAH,SEMARANG,BF17,KLEPU,250,"  142.278,40 ",31,"  4.410.630,40 ","  2.205.315,20 ","  2.205.315,20 ",  50.000 ,,
126,DOMESTIK,CURAH,SEMARANG,BF19,BAWEN,260,"  146.819,20 ",31,"  4.551.395,20 ","  2.730.837,12 ","  1.820.558,08 ",  50.000 ,,
127,DOMESTIK,CURAH,SERANG,AB23,SERANG,770,"  400.347,20 ",25,"  10.008.680,00 ","  6.005.208,00 ","  4.003.472,00 ",  100.000 ,,
128,DOMESTIK,CURAH,SIDOARJO,DG01,SIDOARJO,170,"  107.389,92 ",31,"  3.329.087,52 ","  1.664.543,76 ","  1.664.543,76 ",  50.000 ,,
129,DOMESTIK,CURAH,SIDOARJO,DG02,KRIAN SIDOARJO,170,"  107.389,92 ",31,"  3.329.087,52 ","  1.664.543,76 ","  1.664.543,76 ",  50.000 ,,
