NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,"Kamis, 19 Juni 2025",Beli Velg Second ,1 pcs,"800.000,00",,Tuban,,,,,,,,
,"Kamis, 19 Juni 2025",Ngevet,,"50.000,00",,Mbah Datuk Tuban,Putaran fan masih enteng,,,,,,,
,,Oli Visco Kipas,6 botol,"60.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa perbaikan ,,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Las & Repair Knalpot,,"200.000,00",,Pak Nor Tuban,,,,,,,,
,,Pembuatan Engkolan Ban Cadangan,,"150.000,00",,Pak Nor Tuban,Knalpot patah,,,,,,,
,"Sabtu, 21 Juni 2025",Lampu Samping Bumper Kanan Kiri,14 pcs,"187.000,00",,Shopee Mas Yono,,,,,,,,
,,Relay Kaki 4,1 pcs,"45.000,00",,RSP Electric Tuban,,,,,,,,
,,Socket Relay,1 pcs,"20.000,00",,RSP Electric Tuban,,,,,,,,
,,Rumah Sikring,14 pcs,"10.000,00",,RSP Electric Tuban,,,,,,,,
,,Skun Kabel,1 pcs,"15.000,00",,RSP Electric Tuban,,,,,,,,
,,Kabel ,35 meter,"160.000,00",,RSP Electric Tuban,,,,,,,,
,,Jasa pasang,,"150.000,00",,RSP Electric Tuban,,,,,,,,
,"Sabtu, 21 Juni 2025",Lampu Mundur Bulat,1 pcs,"57.440,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Alarm Mundur Truk+Socket Fuse,1 pcs,"46.250,00",,Shopee,Persiapan masuk SBI,,,,,,,
,"Senin, 23 Juni 2025",Lampu LED Sein Belakang,4 pcs,"28.000,00",,RSP Electric Tuban,Sein belakang mati,,,,,,,
,,"Kabel, Sikring, Baut",7 meter,"35.000,00",,RSP Electric Tuban,,,,,,,,
,,Jasa pasang,,"50.000,00",,RSP Electric Tuban,,,,,,,,
,"Selasa, 24 Juni 2025",Uang Sepatu Safety+Transport,1 Pasang,"363.000,00",,Tuban Kota,Persiapan masuk SBI,,,,,,,
,"Selasa, 24 Juni 2025",Kaca Film+Tulisan Stiker+Pasang,,"450.000,00",,Tambakboyo,,,,,,,,
,"Selasa, 24 Juni 2025",APAR 3KG,,"181.400,00",,Shopee ,Persiapan masuk SBI,,,,,,,
,,Kacamata+Rompi Safety,,"66.582,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Segitiga Pengaman+Stiker Merah 25m+Stiker Kuning 25m,,"136.536,00",,Shopee,Persiapan masuk SBI,,,,,,,
,,Masker KN95+Kota P3K,,"162.130,00",,,,,,,,,,
,"Minggu, 29 Juni 2025",Coolant Hikari,4 galon,"140.000,00",,Jaya Subur,,,,,,,,
,,Spakbor Depan Hino RH,1 pcs,"400.000,00",,Jaya Subur,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Senin, 30 Juni 2025",Park Head Hino,1 pcs,"1.400.000,00",,Pak Yanto Jenu,,,,,,,,
,,Jasa Ganti Park Head,,"2.500.000,00",,,,,,,,,,
,,Park Turbo ,1 pcs,"45.000,00",,,,,,,,,,
,,Strum Accu,,"40.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 2 Juli 2025",Tiptop Ban Engkel Kanan Luar,1 pcs,"300.000,00",,Tambal Ban Maju Mapan Pati,Ban kena batu sobek (18 Juni 25),,,,,,,
,"Kamis, 3 Juli 2025",Ban Dalam,1 pcs,"100.000,00",,Tuban,,,,,,,,
,,Marset,1 pcs,"30.000,00",,,,,,,,,,
,,Bongkar Pasang Ban,,"20.000,00",,,,,,,,,,
,"Kamis, 3 Juli 2025",Daftar GPS Inova Track (SBI),,"166.500,00",,,,,,,,,,
,,Ganjel Ban,,"100.000,00",,Mas Mawan Tuban,Persiapan masuk SBI,,,,,,,
,"Senin, 7 Juli 2025",STNK 1/12,,"400.000,00",,,STNK 2025-2026 dibagi 12 bulan,,,,,,,
,"Senin, 7 Juli 2025",Thermostat 76.5 derajat ,1 pcs,"575.000,00",,Tuban,,,,,,,,
,"Senin, 7 Juli 2025",Masker Topeng+ Id Card SBI,,"150.000,00",,,Persiapan masuk SBI,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Minggu, 13 Juli 2025",U Bolt Lohan Tronton Rear M27x93x400,2 pcs,"400.000,00",,Jaya Subur,,,,,,,,
,,Trunion Bushing,2 pcs,"150.000,00",,Jaya Subur,,,,,,,,
,,Rear Stopper,4 pcs,"400.000,00",,Jaya Subur,,,,,,,,
,,Seal Gardan,1 pcs,"125.000,00",,Jaya Subur,,,,,,,,
,,Oli Gardan SAE 140,1 galon,"215.000,00",,Jaya Subur,,,,,,,,
,,Coolant Hikari 5 liter,1 galon,"35.000,00",,Jaya Subur,,,,,,,,
,,Jasa Kirim Barang ,,"50.000,00",,Koh Hendra,,,,,,,,
,"Minggu, 13 Juli 2025",Jasa Bongkar Pasar Boogie/Trunion & Motong Trunion Per,,"300.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Pasang Karet Stoper 4 pcs,,"200.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Senin, 14 Juli 2025",Daftar+GPS Easygo (SI) 1/12,,"288.600,00",,,,,,,,,,
,"Selasa, 15 Juli 2025",Helm Safety,,"50.000,00",,Mas Mawan Tuban,Persiapan masuk SBI,,,,,,,
,,,,,,,,,,,,,,
,"Jumat, 18 Juli 2025","Perbaikkan Arset, Bikin Ring Filter Lubang Pipa",,"250.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,,Ganti Kran Pendorong 1 Inch Kuningan,,"250.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Jumat, 25 Juli 2025",Pelunasan Truk,,"80.000.000,00","5.000,00",BI Fast,"Potong 5 jt dari 85 jt, 50 jt Richi Alfiah , 50 jt Mas Dhian",,,,,,,
,"Jumat, 25 Juli 2025",Ring Velg,,"100.000,00",,Temen Mas Yono,Pecah Ring,,,,,,,
,,Torsi Baut,,"50.000,00",,Berdikari Tuban,,,,,,,,
,,Cek Angin,,"20.000,00",,Berdikari Tuban,,,,,,,,
,,Semprot Radiator,,"25.000,00",,Berdikari Tuban,,,,,,,,
,"Sabtu, 26 Juli 2025",Service Radiator + Bongkar Pasang,,"250.000,00",,Rembang,,,,,,,,
,"Senin, 28 Juli 2025",Water Outlet Hino 260 TI,1 pcs,"150.000,00",,Jaya Subur,,,,,,,,
,,Silicon ,1 pcs,"45.000,00",,Jaya Subur,,,,,,,,
,,Coolant Hikari 5 liter ,2 galon,"70.000,00",,Jaya Subur,,,,,,,,
,"Senin, 28 Juli 2025",Seal Rem Depan,2 pcs,"40.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Stempet Cobra,4 pcs,"140.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Pipa Rem,2 meter,"60.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Minyak Rem Jumbo,2 pcs,"140.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Ganti Seal Gardan ,,"100.000,00",,Mbah Datuk Tuban,Part Sudah Beli Sebelumnya & Terdata,,,,,,,
,,Jasa Ganti Seal Rem Depan,,"200.000,00",,Mbah Datuk Tuban,,,,,,,,
,,"Jasa Cek Bearing Nambah Grease, Ganti Water Outlet, Las Pipa Rem, Stel Rem, Bongkar Pasang Pipa Rem",,"300.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Gojek Barang,,"65.500,00",,,,,,,,,,
,"Senin, 28 Juli 2025",Las Ganjal Per Roda Kanan Belakang ,,"200.000,00",,Pak Nor Tuban,Per renggang,,,,,,,
,"Senin, 28 Juli 2025",Pasang Lepas Thermostat,,"100.000,00",,Pak Andri Bojonegoro,Uji Coba Thermostat,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 6 Agustus 2025",Meditran SX 10 Liter,1 pcs,"425.000,00",,Jaya Subur,Km 6000,,,,,,,
,,Meditran SX 4 liter,2 pcs,"350.000,00",,Jaya Subur,4 liter oli mesin dipakai Hori,,,,,,,
,,Filter Oli MesinHOP,1 pcs,"150.000,00",,Jaya Subur,,,,,,,,
,,Filter Solar Atas & Bawah ,2 pcs,"190.000,00",,Jaya Subur,,,,,,,,
,,Jasa Kirim,,"25.000,00",,Jaya Subur,,,,,,,,
,"Rabu, 6 Agustus 2025",Filter Solar Bawah ,2 pcs,"200.000,00",,Tuban Mas Yono,"Sopir Butuh Uang Perbaikkan, 23 Sep 25 pakai 1",,,,,,,
,"Rabu, 6 Agustus 2025",Air Cuci Truk ,,"70.000,00",,H.Mudjianto Tuban,,,,,,,,
,,HCL,2 pcs,"35.000,00",,H.Mudjianto Tuban,,,,,,,,
,,Jasa Cuci,,"50.000,00",,H.Mudjianto Tuban,,,,,,,,
,"Rabu, 6 Agustus 2025",GPS Inova Track (SBI) 1/12,,"88.800,00",,,,,,,,,,
,"Kamis, 7 Agustus 2025",STNK 2/12,,"400.000,00",,,,,,,,,,
,"Kamis, 7 Agustus 2025","Ganti Oli Mesin, Filter Oli, Filter Solar Atas Bawah, Semprot Rem, Silicon kaca",,,,Mbah Datuk Tuban,,,,,,,,
,"Kamis, 7 Agustus 2025",Cover Angin Depan Belakang,2 pcs,"1.000.000,00",,Pak Yanto Pereng Tuban,Perbaikkan Compressor Hori Pecah Cover ,,,,,,,
,,Areng Hori 1 set,5 pcs,"1.100.000,00",,Pak Yanto Pereng Tuban,4 liter oli mesin,,,,,,,
,,Bearing 6208,1 pcs,"100.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
