NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,"Senin, 13 Oktober 2025",Baut Roda Belakang Kiri,5 pcs ,"159.350,00",,Shopee,Sisa Stock baut roda 3+5 kiri (8 pcs),,,,,,,
,,Baut Roda Belakang Kanan,5 pcs ,"159.350,00",,Shopee,Sisa Stock baut roda 1+5 kanan (6 pcs),,,,,,,
,"Selasa, 14 Oktober 2025",GPS Easygo (SI) 4/12,,"122.100,00",,,,,,,,,,
,"Rabu, 15 Oktober 2025",Nyepul Kepala Aki,1 pcs ,"20.000,00",,RSP Electric Tuban,,,,,,,,
,,Skun,1 pcs ,"10.000,00",,RSP Electric Tuban,,,,,,,,
,,Terminal A,1 set,"50.000,00",,RSP Electric Tuban,,,,,,,,
,,Perbaikkan Socket Lampu Depan + Dim,1 pcs ,"50.000,00",,RSP Electric Tuban,Lampu Depan Dim Sendiri ,,,,,,,
,"Kamis, 16 Oktober 2025",Relay (Bosh),1 pcs ,"45.000,00",,RSP Electric Tuban,Box Sikring Sort (Berasap),,,,,,,
,,Socket Relay,1 pcs ,"15.000,00",,RSP Electric Tuban,,,,,,,,
,,Rumah Sikring,2 pcs ,"14.000,00",,RSP Electric Tuban,,,,,,,,
,,Sikring,5 pcs ,"7.000,00",,RSP Electric Tuban,,,,,,,,
,,Perbaikkan Kelistrikan+Storing ,,"100.000,00",,RSP Electric Tuban,,,,,,,,
,"Sabtu, 18 Oktober 2025",Kabel ORI Bintik Tembaga,34 meter,"170.000,00",,RSP Electric Tuban,Lampu Rem Kota dan Hazard Mati,,,,,,,
,,Perbaikkan Ngeset Lampu Rem Kota dan Hazard Mati,,"150.000,00",,RSP Electric Tuban,,,,,,,,
,"Senin, 20 Oktober 2025",Ganti Ban Cadangan Impact,1 pcs,"40.000,00",,Lubung Oangan Lasem,Pecah ban,,,,,,,
,"Selasa, 21 Oktober 2025",Ban Duraturn 1100 Luar Saja,1 pcs,"3.840.000,00",,Caping Ban,Ban Bekas Tronton Kanan Dalam Pecah,,,,,,,
,,Jas Bongkar Pasang Ban+Ongkos Pasang Ban Cadangan,,"50.000,00",,Demak kotak ,Pasang di Tronton Kanan Luar,,,,,,,
,"Rabu, 22 Oktober 2025",Bongkar Pasang Ban,2 pcs,"60.000,00",,Caping Ban,"Duraturn Baru Pasang di Kiri Depan, Duraturn Depan kiri Pindah Engkel Luar kanan",,,,,,,
,,Oper Ban,1 pcs,"30.000,00",,Caping Ban,Ban Neolin Engkel Luar Kanan Pindah ke Tronton Kanan,,,,,,,
,"Kamis, 23 Oktober 2025",Ban Duraturn 1100 Set,1 pcs,"4.275.000,00",,Caping Ban,Ban Bekas+Ban Neolin Pecah,,,,,,,
,,Marset Tipis,1 pcs,"25.000,00",,Caping Ban,,,,,,,,
,,Bongkar Pasang Ban+Impact,3 ban,"110.000,00",,Sedulur Ban,Masang Ban Cadangan + Cadangan Mas Toni ,,,,,,,
,,Bongkar Pasang Ban Baru+Impact,3 ban,"150.000,00",,Kotak Ban,"Duraturn Baru Depan Kanan, Duraturn Kanan Depan Engkel Kanan, Neolin Tronton Kanan Luar",,,,,,,
,"Sabtu, 25 Oktober 2025",Ban Bridgeston Benang 1100 terjual,1 pcs,"2.000.000,00",,Adi Jaya Ban,"Ban 1100 Benang Terjual (hilang, Iyus ganti rugi)",,,,,,,
,,Ban Giti Bekas 1100 kawat set,1 pcs,"900.000,00",,Adi Jaya Ban,5 Februari 2026 pecah,,,,,,,
,"Sabtu, 25 Oktober 2025",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Sabtu, 25 Oktober 2025",Seal Perseneling Belakang,2 pcs,"180.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Vet,,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Seal Pen Belakang,2 pcs,"40.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Minyak Rem Jumbo,1 pcs,"70.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Karet Kopling Atas,1 pcs,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Seal Tromol Belakang Engkel Kiri,1 pcs,"70.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Stempet Rotary Roda,4 pcs,"180.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Ganti Seal Perseneling,1 pcs,"200.000,00",,Mbah Datuk Tuban,Seal Perseneling Rembes (Netes ke kampas rem tangan),,,,,,,
,,Jasa Ganti Seal Rem Belakang Engkel Kiri,1 pcs,"200.000,00",,Mbah Datuk Tuban,Seal Rem Belakang Kiri Engkel Rembes ,,,,,,,
,,Oli Gardan,4 liter,"190.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Selasa, 28 Oktober 2025",Jasa Tambal Ban Duraturn Dalam Engkel Kanan,1 pcs,"50.000,00",,Berdikari Tambal Ban,,,,,,,,
,"Jumat, 31 Oktober 2025",Jasa Ganti Filter Solar Atas & Bawah,,"50.000,00",,Nova Silog,"KM 628.027,63. Atas KM10.300, bawah KM5.000",,,,,,,
,,,,,,,,,,,,,,
,"Minggu, 2 November 2025",Stempet,,"50.000,00",,Berkah Rembang ,,,,,,,,
,"Jumat, 7 November 2025",STNK 5/12,,"400.000,00",,,,,,,,,,
,"Senin, 3 November 2025",Meditran SX 10 Liter,1 pcs,"425.000,00",,Jaya Subur,"KM 629.301, next ganti 639.301",,,,,,,
,,Meditran SX 4 Liter,1 pcs,"185.000,00",,Jaya Subur,,,,,,,,
,,Meditran SX 1 Liter,1 pcs,"50.000,00",,Jaya Subur,,,,,,,,
,,Filter Oli Mesin Hop,1 pcs,"185.000,00",,Jaya Subur,,,,,,,,
,,Filter Solar Atas,1 pcs,"50.000,00",,Jaya Subur,Stok Filter Solar Atas 1 pcs,,,,,,,
,,Filter Solar Bawah,1 pcs,"165.000,00",,Jaya Subur,Stok Filter Solar Bawah 1 pcs,,,,,,,
,,Oli Rem Jumbo,1 pcs,"65.000,00",,Jaya Subur,,,,,,,,
,"Senin, 10 November 2025",GPS Easygo (SI) 5/12,,"122.100,00",,,,,,,,,,
,"Senin, 10 November 2025",GPS Inova Track (SBI) 4/12,,"166.500,00",,,,,,,,,,
,"Senin, 10 November 2025",Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,HCL ,2 pcs,"40.000,00",,Aisyah  Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",,Asiyah  Tuban,,,,,,,,
,"Senin, 10 November 2025",Jasa Ganti Oli Mesin,,"30.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Ganti Filter Oli Mesin,,"15.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Selasa, 11 November 2025",Stoplamp Belakang,1 set,"96.339,00",,Shopee,Mika sudah buram,,,,,,,
,,Kabel Rotari ,10 meter,"50.000,00",,RSP Electric Tuban,,,,,,,,
,,Alarm Mundur,1 pcs,"80.000,00",,RSP Electric Tuban,Kebakar kena banjir,,,,,,,
,,Saklar Rotari,1 pcs,"15.000,00",,RSP Electric Tuban,,,,,,,,
,,Lampu Led,2 pcs,"14.000,00",,RSP Electric Tuban,,,,,,,,
,,"Jasa Perbaikan&Pasang Lampu Mundur, Alarm Mundur, Rotari, Stop Lamp",,"150.000,00",,RSP Electric Tuban,,,,,,,,
,,Storing,,"50.000,00",,RSP Electric Tuban,,,,,,,,
,"Jumat, 14 November 2025",Tambah Angin,10 pcs,"20.000,00",,Berdikari Tuban,Kontrol Tekanan Ban,,,,,,,
,,Semprot Radiator & Filter Udara,,"25.000,00",,Berdikari Tuban,,,,,,,,
,,Kontrol Impact Baut,4 pcs ,"50.000,00",,Berdikari Tuban,,,,,,,,
,"Jumat, 14 November 2025",Tuker Tambah Ganti Valve Nomer 3,1 pcs,"250.000,00",,Pak Yanto Pereng Tuban,"Bocor, Valve nomer 3 dari depan",,,,,,,
,"Jumat, 14 November 2025",Las 4 Pangkon Segel & 4 Baut Jok,,"100.000,00",,Pak Nor Tuban,Patah pangkon segel dan jok,,,,,,,
,"Selasa, 18 November 2025",Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,Jasa Cuci,,"20.000,00",,Asiyah  Tuban,,,,,,,,
,"Selasa, 18 November 2025",Bushing Stang Perseneling Atas,1 pcs,"125.000,00",,Cahaya Baru Motor Lasem,Pecah ,,,,,,,
,,Kabeli Tis,,"7.000,00",,Cahaya Baru Motor Lasem,,,,,,,,
,"Senin, 24 November 2025",Lampu Tembak Kanan,1 pcs,"150.000,00",,Mamer Tuban,"Mati kena lubang, rotari mati 2 juga",,,,,,,
,"Kamis, 25 September 2025",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 3 Desember 2025",Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,Jasa Cuci,,"20.000,00",,Asiyah  Tuban,,,,,,,,
,"Rabu, 3 Desember 2025",Kontrol Baut,,"50.000,00",,Tambal Ban Berdikari Tuban,,,,,,,,
,,Semprot Filter,,"20.000,00",,Tambal Ban Berdikari Tuban,,,,,,,,
,"Rabu, 3 Desember 2025",Perbaikkan Bocor Selang Thermostat ,,"50.000,00",,,,,,,,,,
,,Ganti Filter Solar Bawah,,"50.000,00",,Novan Silog,"Stok Filter Solar Bawah 0 pcs, KM GPS 632.057",,,,,,,
,"Minggu, 7 Desember 2025",STNK 6/12,,"400.000,00",,,,,,,,,,
,"Rabu, 10 Desember 2025",GPS Easygo (SI) 5/12,,"122.100,00",,,,,,,,,,
,"Rabu, 10 Desember 2025",GPS Inova Track (SBI) 4/12,,"166.500,00",,,,,,,,,,
,"Jumat, 12 Desember 2025",Stel Rem,,"50.000,00",,Mbah Datuk,,,,,,,,
,,Stempet,,"50.000,00",,Mbah Datuk,,,,,,,,
,"Kamis, 18 Desember 2025",Filter Solar Bawah,1 pcs,"100.000,00",,Mbah Datuk,Stok Filter Solar Bawah 1 pcs,,,,,,,
,"Kamis, 18 Desember 2025",As Roda Hino 260 TI Orisinil Engkel Kanan,1 pcs,"2.250.000,00",,,Patah As Roda Engkel Kanan,,,,,,,
,,Storing + Jasa Bongkar pasang As Roda,,"350.000,00",,,,,,,,,,
,"Sabtu, 20 Desember 2025",Seal Tromol Belakang,1 pcs,"70.000,00",,Mbah Datuk,Lanjutan Perbaikkan As Roda Patah,,,,,,,
,,Stempet Rotari ,4 pcs,"180.000,00",,Mbah Datuk,,,,,,,,
,,"Jasa Bongkar Pasang Klaker, Service Baut Slumbung",,"500.000,00",,Mbah Datuk,,,,,,,,
,,Ring As Slumbung,2 pcs,"110.000,00",,Mbah Datuk,,,,,,,,
,,Laker Gardan Lohan 32218JA,1 pcs,"625.000,00",,Indra Jaya Motor Tuban,,,,,,,,
,,Laker Gardan Lohan 32217JA,1 pcs,"500.000,00",,Indra Jaya Motor Tuban,,,,,,,,
,,Mur Slumbung Lohan,2 pcs,"300.000,00",,Indra Jaya Motor Tuban,,,,,,,,
,"Minggu, 21 Desember 2025",Bongkar PAsang Jok Driver Dan Las Meninggikan Dudukan Jok,,"150.000,00",,Pak Nor Tuban,,,,,,,,
,"Kamis, 25 Desember 2025",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Minggu, 28 Desember 2025",Tambal Ban Tronton Kanan Luar,,"70.000,00",,Walisongo Rembang,,,,,,,,
,"Minggu, 28 Desember 2025",Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,HCL ,1 pcs,"20.000,00",,Aisyah  Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",,Asiyah  Tuban,,,,,,,,
,,,,,,,,,,,,,,
,"Kamis, 8 Januari 2026",Stempet,,"50.000,00",,Mbah I Rembang,,,,,,,,
,,Kontrol Angin,,"30.000,00",,Mbah I Rembang,,,,,,,,
,"Kamis, 8 Januari 2026",STNK 7/12,,"400.000,00",,,,,,,,,,
,,"Rapelan STNK 7 Bulan, 500.000/bulan",,"3.500.000,00",,,10.800.000 2025 dibagi 12 900.000,,,,,,,
,"Jumat, 9 Januari 2026",Meditran SX 10 Liter,1 pcs,"340.000,00",,Jaya Subur Tuban,"425.000 Oli Tambahan (Hijau ambil 2liter), putih 3 liter, lebihan oli 5 liter (19 Feb 26 2 liter, sisa 3 liter)",,,,,,,
,"Jumat, 9 Januari 2026",Tukar Tambah Velg ,2 pcs,"500.000,00",,Temen Mas Yono ,Silog,,,,,,,
,,Bongkar Pasang Velg,4 pcs,"120.000,00",,Adi Jaya Ban,2 pcs jasa bongkar pasang velg temen mas yon,,,,,,,
,"Selasa, 13 Januari 2026",GPS Easygo (SI) 6/12,,"122.100,00",,,,,,,,,,
,"Selasa, 13 Januari 2026",GPS Inova Track (SBI) 5/12,,"166.500,00",,,,,,,,,,
,"Selasa, 20 Januari 2026",Las Kendangan Knalpot + Tambah Pipa Knalpot,,"200.000,00",,Pak Nor Tuban,,,,,,,,
,"Rabu, 21 Januari 2026",Otomatis Switch Handle,,"820.000,00",,Mbah Datuk,Gigi Tidak Bisa Pindah Ke Kura2 (High Low),,,,,,,
,,Stempet Rotari,4 pcs,"180.000,00",,Mbah Datuk,,,,,,,,
,,Seal Tromol Belakang ,2 pcs,"140.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Cek Laker Roda Semua ,,"600.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Bongkar Pasang High Low,,"100.000,00",,Mbah Datuk,,,,,,,,
,"Rabu, 21 Januari 2026",Kontrol Angin,,"20.000,00",,Adi Jaya Ban,,,,,,,,
,,Semprot Filter,,"10.000,00",,Adi Jaya Ban,,,,,,,,
,,Semprot Radiator,,"20.000,00",,Adi Jaya Ban,,,,,,,,
,,Kontrol Baut Roda + Impact,,"60.000,00",,Adi Jaya Ban,,,,,,,,
,"Jumat, 30 Januari 2026",Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,HCL ,1 pcs,"20.000,00",,Aisyah  Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",,Asiyah  Tuban,,,,,,,,
,"Sabtu, 31 Januari 2026",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 (Bayar 2 Feb 26),,,,,,,
,,,,,,,,,,,,,,
,"Jumat, 6 Februari 2026",Jasa Bongkar Pasang Ban Engkel Kanan Pecah,1 pcs,"50.000,00",,Rembang,,,,,,,,
,"Jumat, 6 Februari 2026",Solar ke Jepara Urus Surat Belum Stempel,,"50.000,00",,,,,,,,,,
,"Sabtu, 7 Februari 2026",Ban Duraturn 1100 Luar Saja ( Prod 3025) Serial Number 5112043669 & 5112042665,2 pcs,"7.900.000,00",,Mandiri Jaya Ban Semarang ,5 Februari 2026 pecah ban bekas GITI Melentung Pecah,,,,,,,
,"Minggu, 8 Februari 2026",Ongkos Mas Toni Bawa 2 Ban,,"200.000,00",,,,,,,,,,
,"Minggu, 8 Februari 2026",Jasa Ganti Ban Baru,2 pcs,"60.000,00",,Artomoro Ban Jenu,,,,,,,,
,,Impact,,"20.000,00",,Artomoro Ban Jenu,,,,,,,,
,,Marset Bekas,1 pcs,"50.000,00",,Artomoro Ban Jenu,,,,,,,,
,,Kontrol Angin,,"20.000,00",,Artomoro Ban Jenu,,,,,,,,
,"Minggu, 8 Februari 2026",STNK 8/12,,"900.000,00",,,,,,,,,,
,"Jumat, 13 Februari 2026",GPS Easygo (SI) 7/12,,"122.100,00",,,,,,,,,,
,"Jumat, 13 Februari 2026",GPS Inova Track (SBI) 6/12,,"166.500,00",,,,,,,,,,
,"Sabtu, 21 Februari 2026",Stempet,,"60.000,00",,Tambal Ban Juwana,,,,,,,,
,,Kontrol Angin,,"20.000,00",,Tambal Ban Juwana,,,,,,,,
,,Kontrol Baut Roda + Impact,,"50.000,00",,Tambal Ban Juwana,Patah 2,,,,,,,
,,Semprot Filter,,"5.000,00",,Tambal Ban Juwana,,,,,,,,
,,,,,,,,,,,,,,
,,Potong Baut Roda Engkel Kanan Patah + Impact,,"100.000,00",,Tambal Ban Mandiri,Patah 2,,,,,,,
,,,,,,,,,,,,,,
,"Kamis, 26 Februari 2026",Bongkar Pasang Ban + Impact,,"50.000,00",,Tambal Ban DJ22 Sukolilo,,,,,,,,
,,Las Ganti Baut Roda Engkel Kanan Patah,2 pcs,"50.000,00",,Tambal Ban DJ22 Sukolilo,"Pakai 2 Stok Baut Roda, Sisa stock baut roda 4 pcs kanan",,,,,,,
,"Jumat, 27 Februari 2026",Bongkar Pasang Ban Cadangan dari Truk Mas Mawan dan Ban Bekas Pecah,,"50.000,00",,Tambal Ban Maju Mapan Pati,,,,,,,,
,"Sabtu, 28 Februari 2026",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,Perbulan tiap tanggal 25 (Bulan Februari pending),,,,,,,
,"Sabtu, 28 Februari 2026",Klaim Muatan Januari Februari Mas Yono Dibagi 2 HWT & Mas Yono,12.580 Kg,"629.000,00",,,Klaim 1.258.000 dibagi 2 ,,,,,,,
,,,,,,,,,,,,,,
,"Minggu, 1 Maret 2026",Rotasi Ban Engkel & Tronton Kanan ke Kiri dan Kiri ke Kanan,4 pcs,"80.000,00",,Artomoro Ban Tuban,,,,,,,,
,,Air Aki,2 pcs,"30.000,00",,RSP Electric,,,,,,,,
,,Pasang Rotary,,"20.000,00",,RSP Electric,,,,,,,,
,"Minggu, 1 Maret 2026",Cuci Truk,,"75.000,00",,Haji Mudjianto Tuban,,,,,,,,
,,HCL ,3 pcs ,"51.000,00",,Haji Mudjianto Tuban,,,,,,,,
,,Jasa Cuci HCL,,"70.000,00",,Haji Mudjianto Tuban,,,,,,,,
,"Minggu, 1 Maret 2026",Meditran SX 10 Liter,1 pcs,"425.000,00",,Jaya Subur,,,,,,,,
,,Meditran SX 4 liter,1 pcs,"125.000,00",,Jaya Subur,,,,,,,,
,,Meditran SX 1 liter,1 pcs,"50.000,00",,Jaya Subur,,,,,,,,
,,Filter Oli HOP,1 pcs,"150.000,00",,Jaya Subur,,,,,,,,
,,Karet Stabilizer Hop,4 pcs,"600.000,00",,Jaya Subur,Engkel Kanan Kiri ,,,,,,,
,"Kamis, 5 Maret 2026",Baut Stabil Panjang,2 pcs,"90.000,00",,Mbah Datuk,,,,,,,,
,,Minyak Rem Jumbo,2 pcs,"140.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Ganti Karet Stabil Engkel Kanan Kiri 4 pcs,,"200.000,00",,Mbah Datuk,,,,,,,,
,,Servis + Ganti Oli Mesin+ Filter Oli Mesin + Filter Solar Atas Bawah,,"150.000,00",,Mbah Datuk,KM GPS 642.939,,,,,,,
,,Bleeding Minyak Rem,,"100.000,00",,Mbah Datuk,,,,,,,,
,,Stel Rem,,"50.000,00",,Mbah Datuk,,,,,,,,
,,Service Gas Berat,,"100.000,00",,Mbah Datuk,,,,,,,,
,,Ganti Filter Solar Atas Bawah,,"0,00",,Mbah Datuk,"Stok Filter Solar Atas Bawah 0 pcs, KM GPS 642.939 (Atas 14.912, Bawah 10.882)",,,,,,,
,"Minggu, 8 Maret 2026",STNK 9/12,,"900.000,00",,,,,,,,,,
,"Minggu, 8 Maret 2026",GPS Easygo (SI) 8/12,,"122.100,00",,,,,,,,,,
,"Minggu, 8 Maret 2026",GPS Inova Track (SBI) 7/12,,"166.500,00",,,,,,,,,,
,"Selasa, 10 Maret 2026",Kabel AWO,10 meter,"50.000,00",,RSP Electric,,,,,,,,
,,Lampu LED Pelindung Kanan,8 pcs,"56.000,00",,RSP Electric,"Lampu LED Pelindung Kanan mati semua, sort",,,,,,,
,,Perbaikkan Lampu Led Sort,,"100.000,00",,RSP Electric,,,,,,,,
,,Relay,1 pcs,"45.000,00",,RSP Electric,,,,,,,,
,"Selasa, 10 Maret 2026",Repair Pasang & Cat Bumper Depan (modifikasi) Tidak Masuk Tagihan,,"700.000,00",,Mas Yon 200rb,,,,,,,,
,"Minggu, 15 Maret 2026",Tambahan Uang Nginep Bawen,,"250.000,00",,,,,,,,,,
,,Cuci Truk,,"70.000,00",,Asiyah  Tuban,,,,,,,,
,,Jasa Orang Nyuci,,"30.000,00",,Aisyah  Tuban,,,,,,,,
,"Rabu, 18 Maret 2026",Las Dodok Tambal Lantai Kabin Kanan & Kiri,,"650.000,00",,Pak Nor Tuban,Lantai Kabin Kropos,,,,,,,
,"Sabtu, 28 Maret 2026",Kontrol Angin,,"20.000,00",,Anang Jaya Ban Tuban,,,,,,,,
,,Semprot Filter,,"10.000,00",,Anang Jaya Ban Tuban,,,,,,,,
,,Semprot Radiator ,,"20.000,00",,Anang Jaya Ban Tuban,,,,,,,,
,"Selasa, 31 Maret 2026",Tambal Ban + Impact,,"60.000,00",,SIS Putri Kembar Lasem,Bocor di VUB Ngaliyan Arslet,,,,,,,
,,Stempet Boogie Kanan Kiri,,"20.000,00",,SIS Putri Kembar Lasem,,,,,,,,
,"Selasa, 31 Maret 2026",Pak Udin Pengurus SILOG,,"150.000,00",,SILOG,"Perbulan tiap tanggal 25 (Bulan Februari, Maret pending)",,,,,,,
,,,,,,,,,,,,,,
,"Kamis, 2 April 2026",Karet Manhole Tangki,2 pcs,"100.000,00",,Temen Mas Khoirul,Karet Rusak,,,,,,,
,"Kamis, 2 April 2026",Lem Fox Untuk Manhole ,1 pcs,"25.000,00",,Toko Akbar Tuban ,,,,,,,,
,,Scotlight Merah 1 meter Kuning 1 meter,2 m,"20.000,00",,Toko Akbar Tuban ,Pendaftaran Indocement,,,,,,,
,,Scotlight Merah 2.5 meter,2.5 m,"25.000,00",,Toko Akbar Tuban ,Pendaftaran Indocement,,,,,,,
,"Jumat, 3 April 2026",Handle Kaca Kanan,1 pcs,"25.000,00",,,Handle Patah,,,,,,,
,"Minggu, 5 April 2026",Klem Aki +-,1 set,"45.000,00",,RSP Electric,Kepala Aki Abis,,,,,,,
,,Sepul Aki+Storing,,"50.000,00",,RSP Electric,Kepala Aki Abis,,,,,,,
,"Rabu, 8 April 2026",STNK 10/12,,"900.000,00",,,,,,,,,,
,"Senin, 13 April 2026",GPS Easygo (SI) 9/12,,"122.100,00",,,,,,,,,,
,"Senin, 13 April 2026",GPS Inova Track (SBI) 8/12,,"166.500,00",,,,,,,,,,
,"Senin, 13 April 2026",Kontrol Angin,,"20.000,00",,Tambal Ban Adi Jaya,,,,,,,,
,,Kontrol Baut Roda,4 Sisi,"60.000,00",,Tambal Ban Adi Jaya,,,,,,,,
,"Senin, 13 April 2026",Coolant Hikari ,1 pcs,"35.000,00",,Mbah Datuk,,,,,,,,
,,Door Lock Pintu Lohan Kanan,1 pcs,"180.000,00",,Mbah Datuk,,,,,,,,
,,Cross Joint Hori,1 pcs,"80.000,00",,Mbah Datuk,,,,,,,,
,,Kran Klakson 1/4,1 pcs,"75.000,00",,Mbah Datuk,,,,,,,,
,,L Selang Angin,1 pcs,"30.000,00",,Mbah Datuk,,,,,,,,
,,Sok Selang 6mm,2 pcs ,"40.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Ganti Cross Joint Hori,,"50.000,00",,Mbah Datuk,,,,,,,,
,,Stel Rem,,"50.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Bongkar Pasang Pipa Air Turbo,,"100.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Pasang Selang Klakson ,,"50.000,00",,Mbah Datuk,,,,,,,,
,,Pipa Air Turbo,,"120.000,00",,Lancar Jaya Jenu,Ganti Yg Di las,,,,,,,
,"Jumat, 17 April 2026",Setting Mesin,,"150.000,00",,Pak PO Lasem,,,,,,,,
,"Jumat, 17 April 2026",Tambal Ban + Imapct,,"50.000,00",,Tambal Ban Lubung Pangan Lasem,,,,,,,,
,"Minggu, 19 April 2026",Marset Ban Ori Bekas,1 pcs,"50.000,00",,Mr. Ban Kaliori,Ban Tronton Dalam Kanan Bocor Marset Ngelempit,,,,,,,
,,Marset Ban Doublean ,1 pcs,"35.000,00",,Mr. Ban Kaliori,,,,,,,,
,,Impact+Tambal+Dongkrak,,"70.000,00",,Mr. Ban Kaliori,,,,,,,,
,"Kamis, 30 April 2026",Tambah Angin + Impek 2 Roda Tronton Kanan,,"50.000,00",,Lingkar Demak,Ban Tronton Dalam Kanan Bawaan (Ban April 2024) Pecah Samping + Velg Pecah,,,,,,,
,"Kamis, 30 April 2026",Pak Udin Pengurus SILOG,,"0,00",,SILOG,"Perbulan tiap tanggal 25 (Bulan Februari, Maret Pending, April Stop bikin 0)",,,,,,,
,,,,,,,,,,,,,,
,"Minggu, 3 Mei 2026",Ban Duraturn 1100 Set 09/26 2pcs (6032902274 6032902112) KM648.395,2 pcs,"8.600.000,00",,Bakoel Ban Truk Demak,"Ban Engkel Dalam Pecah 1 (Ban lama bawan Truk) Cadangan Tambah 1, sm Bekas Iyus 1. Ban baru pasang didepan, depan turun ke engkel kanan",,,,,,,
,,Marset Tipis Untuk Doubelan,2 pcs,"60.000,00",,Bakoel Ban Truk Demak,,,,,,,,
,"Minggu, 3 Mei 2026","Bongkar Pasang Ban Baru Depan, Belakang Engkel Kanan",4 pcs,"100.000,00",,Tambal Ban Kotak Demak,,,,,,,,
,,Impact ,4 pcs,"80.000,00",,Tambal Ban Kotak Demak,,,,,,,,
,"Selasa, 5 Mei 2026",Stempet Komplit,,"50.000,00",,Tambal SIS Putri Kembar Rembang,,,,,,,,
,,Semprot Radiator + Filter Udara,,"25.000,00",,Tambal SIS Putri Kembar Rembang,,,,,,,,
,,Ganti Filter Solar Bawah,,"25.000,00",,Tambal SIS Putri Kembar Rembang,"KM GPS 649.233, Stok Filter Atas 1 Bawah 0",,,,,,,
,"Rabu, 6 Mei 2026",Tambel + Impact,,"60.000,00",,Tambal Teguh Jaya Pati,"Bocor Tronton Kiri Dalam, MARSET rusak semua",,,,,,,
,,Marset + Doubelan Marset,,"130.000,00",,Tambal Teguh Jaya Pati,Baut Patah 2,,,,,,,
,"Jumat, 8 Mei 2026",STNK 11/12,,"900.000,00",,,,,,,,,,
,"Rabu, 13 Mei 2026",GPS Easygo (SI) 10/12,,"122.100,00",,,,,,,,,,
,"Rabu, 13 Mei 2026",GPS Inova Track (SBI) 9/12,,"166.500,00",,,,,,,,,,
,"Minggu, 10 Mei 2026",Impact ,,"35.000,00",,Tambal Ban Dulur Demak,,,,,,,,
,,Jasa Dongkrak,,"10.000,00",,Tambal Ban Dulur Demak,,,,,,,,
,"Selasa, 12 Mei 2026",Bongkar Pasang Ban,,"25.000,00",,Tambal Ban Adi Jaya Tuban,,,,,,,,
,"Minggu, 24 Mei 2026",Ganti Baut Roda + Impcat,2 pcs,"100.000,00",,Tambal Ban Kotak Demak,"Pakai 2 Stok Baut Roda, Sisa stock baut roda 2 pcs kanan",,,,,,,
,"Senin, 25 Mei 2026",Service Kunci Pintu Tidak Bisa Dibuka,,"200.000,00",,Ambarawa ,,,,,,,,
,"Kamis, 28 Mei 2026",Handle Pintu Kiri,1 pcs,"70.000,00",,Mbah Datuk,Patah,,,,,,,
,,Seal Tromol Belakang Kanan,1 pcs,"80.000,00",,Mbah Datuk,,,,,,,,
,,Stempet Rotari,2 pcs,"100.000,00",,Mbah Datuk,,,,,,,,
,,Sunduk Per Belakang Kanan,1 pcs,"70.000,00",,Mbah Datuk,"Patah, per geser",,,,,,,
,,Klaker Atau Bearing Belakang Luar Kanan Koyo 32217,1 pcs,"500.000,00",,Mbah Datuk,,,,,,,,
,,Bushing Perseneling Wakasa,1 pcs,"100.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Ganti Sunduk Per Belakang,,"300.000,00",,Mbah Datuk,,,,,,,,
