NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR , OMSET , PAJAK 1% , POT LJU 2% , UJ GRB 5% , SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,CATATAN,,
45,"Sabtu, 28 Februari 2026","Senin, 2 Maret 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","35,24","35,10","  3.869.648,64 ","  38.696,49 ",,,"1.800.000,00","1.663.812,15","0,11","0,14","34.280,00","17.140,00",Belum Dipotong,"50.000,00","200.000,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 5 Mar 26,"100.000,00","Sudah Dibayar 1, 94rb pake dump ","35,24 jadi 35,1 selisih 140kg, 1 Byr pake dump",,
46,"Kamis, 5 Maret 2026","Sabtu, 7 Maret 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,00","30,96","  3.608.511,84 ","  36.085,12 ",,,"1.900.000,00","1.522.426,72","0,09","0,04","0,00","0,00",-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 8 Mar 26,"100.000,00",Sudah dibayar 3 April 26 5 rit,"31 jadi 30,96 selisih 40kg",,
47,"Minggu, 8 Maret 2026","Senin, 9 Maret 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"35,32","35,32","  4.116.687,28 ","  41.166,87 ",,,"1.900.000,00","1.935.520,41","0,11","0,00","0,00","0,00",-,"35.000,00","140.000,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 3 April 26 5 rit,35.32 jadi 35.35 lebih 30kg (tidak dibayar sekarang lebih sejak 1 Jan 26),,
48,"Selasa, 10 Maret 2026","Rabu, 11 Maret 2026",UNGARAN,KH BETON (UNGARAN),190.080,"31,06","31,06","  5.903.884,80 ","  59.038,85 ",,,"2.800.000,00","2.944.845,95","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 3 April 26 5 rit,31.06 jadi 31.14 lebih 18 kg (tidak dibayar sekarang lebih sejak 1 Jan 26),,
49,"Kamis, 12 Maret 2026","Jumat, 13 Maret 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"29,98","29,98","  3.494.288,92 ","  34.942,89 ",,,"1.900.000,00","1.459.346,03","0,09","0,00","0,00","0,00",-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,Tidak Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 3 April 26 5 rit,"29.98 jadi 30.02 lebih 40kg (tidak dibayar sekarang lebih sejak 1 Jan 26), UJ Toleransi 30 up",,
50,"Selasa, 31 Maret 2026","Rabu, 1 April 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","32,66","32,64","  3.598.442,50 ","  35.984,42 ",,,"1.800.000,00","1.662.458,07","0,10","0,02","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 3 April 26 5 rit,"32,66 jadi 32,64 selisih 20kg, Mas Mawan 10 rit (5 rit putih, 5 rit hijau), UJ Potong 50 dibawah 33 ton",,
51,"Minggu, 5 April 2026","Selasa, 7 April 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"31,80","31,48","  5.983.718,40 ","  59.837,18 ",,,"2.800.000,00","2.861.581,22","0,10","0,32","224.600,00","112.300,00",Belum Dipotong,"50.000,00","50.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,"31,80 jadi 31,48 selisih 320kg",,
52,"Kamis, 16 April 2026","Sabtu, 18 April 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","35,16","35,06","  3.865.238,78 ","  38.652,39 ",,,"1.800.000,00","1.726.586,40","0,11","0,10","0,00","0,00",-,"50.000,00","200.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,"35,16 jadi 35,06 selisih 100kg",,
53,"Minggu, 19 April 2026","Senin, 20 April 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","36,52","36,52","  4.026.198,53 ","  40.261,99 ",,,"1.800.000,00","1.835.936,54","0,11","0,00","0,00","0,00",-,"50.000,00","250.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,
54,"Rabu, 22 April 2026","Kamis, 23 April 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","32,54","32,46","  3.578.598,14 ","  35.785,98 ",,,"1.800.000,00","1.642.812,16","0,10","0,08","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,"32,54 jadi 32,46 selisih 80kg, NBI Potong 50 dibawah 33 ton",,
55,"Jumat, 24 April 2026","Sabtu, 25 April 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"29,18","29,18","  3.401.045,72 ","  34.010,46 ",,,"1.900.000,00","1.467.035,26","0,09","0,00","0,00","0,00",-,"50.000,00","(100.000,00)",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,UJ Potong 2 Ton (100.000),,
56,"Selasa, 28 April 2026","Rabu, 29 April 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","33,08","33,02","  3.640.336,13 ","  36.403,36 ",,,"1.800.000,00","1.603.932,77","0,10","0,06","0,00","0,00",-,"50.000,00","100.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,
57,"Jumat, 1 Mei 2026","Sabtu, 2 Mei 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"28,02","28,05","  5.331.744,00 ","  53.317,44 ",,,"2.750.000,00","2.428.426,56","0,08","-0,03","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,"28,02 jadi 28,05 lebih 30 kg (tidak dibayar sekarang lebih sejak 1 Jan 26)",,
58,"Minggu, 3 Mei 2026","Selasa, 5 Mei 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"29,62","29,35","  5.578.848,00 ","  55.788,48 ",,,"2.800.000,00","2.532.489,52","0,09","0,27","181.140,00","90.570,00",Belum Dipotong,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,"29,62 jadi 29,35 selisih 270kg",,
59,"Rabu, 6 Mei 2026","Kamis, 7 Mei 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","29,64","29,64","  3.402.918,01 ","  34.029,18 ",,,"1.750.000,00","1.518.888,83","0,089","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"5 Feb 25 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)"
60,"Jumat, 8 Mei 2026","Minggu, 10 Mei 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","31,50","31,50","  3.616.461,45 ","  36.164,61 ",,,"1.800.000,00","1.680.296,84","0,095","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,Do Putih Hijau diambil 10+10rit (ambil cash 1 juta+ bayar ban 1 juta),,"5 Feb 25 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)"
61,"Senin, 11 Mei 2026","Selasa, 12 Mei 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"29,40","29,33","  5.575.046,40 ","  55.750,46 ",,,"2.800.000,00","2.619.295,94","0,09","0,07","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 28 Mei 26 8 rit,"29,62 jadi 29,35 selisih 270kg",,
62,"Minggu, 24 Mei 2026","Selasa, 26 Mei 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","35,18","35,12","  3.871.853,57 ","  38.718,54 ",,,"1.800.000,00","1.733.135,03","0,11","0,06","0,00","0,00",-,"50.000,00","200.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Sudah dibayar 28 Mei 26 8 rit,35.18 jadi 35.12 selisih 60kg,,
63,"Kamis, 28 Mei 2026","Minggu, 31 Mei 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"30,36","30,36","  5.770.828,80 ","  57.708,29 ",,,"2.800.000,00","2.763.120,51","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"50.000,00",Sudah dibayar 3 Juni 26,"100.000,00",Sudah dibayar 28 Mei 26 8 rit,30.36 jadi 30.46 lebih 100 kg (tidak dibayar sekarang lebih sejak 1 Jan 26). Do Putih 5 + Hijau 3 rit (800rb),,
64,"Rabu, 3 Juni 2026","Kamis, 4 Juni 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","35,46","35,46","  4.071.102,32 ","  40.711,02 ",,,"1.800.000,00","1.930.391,29","0,106","0,00","0,00","0,00",-,"50.000,00","200.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,,,"5 Feb 25 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)"
65,"Jumat, 5 Juni 2026","Sabtu, 6 Juni 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"34,04","34,04","  3.967.498,16 ","  39.674,98 ",,,"2.000.000,00","1.757.823,18","0,10","0,00","0,00","0,00",-,"35.000,00","70.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
66,"Rabu, 10 Juni 2026","Sabtu, 13 Juni 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"29,72","29,34","  5.576.947,20 ","  55.769,47 ",,,"2.800.000,00","2.375.757,73","0,09","0,38","290.840,00","145.420,00",Belum Dipotong,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"100.000,00",Sudah dibayar 14 Juni 26,"100.000,00",Disimpan,"29,72 jadi 29,34 selisih 380kg",,
67,"Minggu, 14 Juni 2026","Senin, 15 Juni 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","30,50","30,38","  3.349.285,63 ","  33.492,86 ",,,"1.750.000,00","1.451.542,78","0,09","0,12","28.500,00","14.250,00",Belum Dipotong,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,30.50 jadi 30.38 selisih 120kg,,
68,"Selasa, 16 Juni 2026","Senin, 22 Juni 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"29,90","29,69","  5.643.475,20 ","  56.434,75 ",,,"2.800.000,00","2.376.890,45","0,09","0,21","120.300,00","60.150,00",Belum Dipotong,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"250.000,00",Sudah dibayar 25 Juni 26,"100.000,00",Disimpan,29.9 jadi 29.69 selisih 210kg,,
69,"Rabu, 24 Juni 2026","Kamis, 25 Juni 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","31,96","31,96","  3.669.273,27 ","  36.692,73 ",,,"1.800.000,00","1.682.580,54","0,096","0,00","0,00","0,00",-,"50.000,00","50.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,,,"5 Feb 25 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)"
70,"Sabtu, 27 Juni 2026","Selasa, 30 Juni 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"32,26","32,26","  3.760.032,04 ","  37.600,32 ",,,"2.000.000,00","1.572.431,72","0,10","0,00","0,00","0,00",-,"35.000,00","0,00",Disimpan,"100.000,00",Disimpan,"50.000,00",Sudah dibayar 1 Juli 26,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
71,"Rabu, 1 Juli 2026","Kamis, 2 Juli 2026",SIDOARJO,SUPERIOR PRIMA SUKSES (KRIAN),163.410,"32,52","32,52","  5.314.093,20 ",,,"  135.000,00 ","2.700.000,00","2.329.093,20","0,10","0,00","0,00","0,00",-,"50.000,00","50.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,,,
72,"Sabtu, 4 Juli 2026","Selasa, 7 Juli 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"32,52","32,52","  3.790.336,08 ","  37.903,36 ",,,"2.000.000,00","1.602.432,72","0,10","0,00","0,00","0,00",-,"35.000,00","0,00",Disimpan,"100.000,00",Disimpan,"50.000,00",Sudah dibayar 7 Juli 26,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
73,"Selasa, 7 Juli 2026","Jumat, 10 Juli 2026",MOJOKERTO,CITICON (MOJOSARI),165.360,"29,40","29,54","  4.884.734,40 ",,,"  199.500,00 ","2.850.000,00","1.685.234,40","0,09","-0,14","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"50.000,00",Sudah dibayar 13 Juli 26,"100.000,00",Disimpan,"lebih 150 kg, terbayar. Pot 100.000 (2ton)",,
74,"Senin, 13 Juli 2026","Selasa, 14 Juli 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),166.925,"28,78","28,52","  4.760.701,00 ","  47.607,01 ",,,"2.800.000,00","1.726.263,99","0,09","0,26","173.660,00","86.830,00",Belum Dipotong,"50.000,00","0,00",Disimpan,"100.000,00",Disimpan,"0,00",-,"100.000,00",Disimpan,28.78 jadi 28.52 selisih 260kg. Pot 100.000 (2ton),,
75,"Kamis, 16 Juli 2026","Minggu, 19 Juli 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"30,52","30,26","  5.751.820,80 ","  57.518,21 ",,,"2.800.000,00","2.660.082,59","0,09","0,26","168.440,00","84.220,00",Belum Dipotong,"50.000,00","0,00",Disimpan,"100.000,00",Disimpan,"50.000,00",Sudah dibayar 20 Juli 26,"100.000,00",Disimpan,29.9 jadi 29.69 selisih 210kg,,
76,"Senin, 20 Juli 2026","Kamis, 23 Juli 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"32,58","32,58","  3.797.329,32 ","  37.973,29 ",,,"2.000.000,00","1.609.356,03","0,10","0,00","0,00","0,00",-,"35.000,00","0,00",Disimpan,"100.000,00",Disimpan,"50.000,00",Sudah dibayar 24 Juli 26,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
77,"Jumat, 24 Juli 2026","Minggu, 26 Juli 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"29,76","29,53","  3.441.839,62 ","  34.418,40 ",,,"1.850.000,00","1.387.061,22","0,09","0,23","140.720,00","70.360,00",Belum Dipotong,"50.000,00","0,00",Disimpan,"100.000,00",Disimpan,"0,00",-,"100.000,00",Disimpan,29.76 jadi 29.53 selisih 230kg,,
78,"Selasa, 28 Juli 2026","Kamis, 30 Juli 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"34,50","34,50","  4.021.113,00 ","  40.211,13 ",,,"2.000.000,00","1.810.901,87","0,10","0,00","0,00","0,00",-,"35.000,00","70.000,00",Disimpan,"100.000,00",Disimpan,"0,00",-,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
79,"Jumat, 31 Juli 2026","Senin, 3 Agustus 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,04","30,94","  3.606.180,76 ","  36.061,81 ",,,"1.900.000,00","1.516.678,95","0,09","0,10","6.880,00","3.440,00",Belum Dipotong,"50.000,00","0,00",Disimpan,"100.000,00",Disimpan,"50.000,00",Sudah dibayar 4 Agst 26,"100.000,00",Disimpan,"31,04 jadi 29.04 selisih 100kg",,
80,"Selasa, 4 Agustus 2026","Kamis, 6 Agustus 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"29,74","29,74","  5.652.979,20 ","  56.529,79 ",,,"2.750.000,00","2.746.449,41","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,"29,74 jadi 29,75 lebih 10 kg (tidak dibayar sekarang lebih sejak 1 Jan 26). Mas Andy yang bawa, POT 1 Ton",,
81,"Sabtu, 8 Agustus 2026","Selasa, 11 Agustus 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"30,48","30,27","  3.528.089,58 ","  35.280,90 ",,,"1.900.000,00","1.433.528,68","0,09","0,21","118.560,00","59.280,00",Belum Dipotong,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,Mas Andy yang bawa,,
82,"Selasa, 11 Agustus 2026","Jumat, 14 Agustus 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"33,04","33,04","  3.850.944,16 ","  38.509,44 ",,,"2.000.000,00","1.627.434,72","0,10","0,00","0,00","0,00",-,"35.000,00","35.000,00",Disimpan,Tidak Potong,Disimpan,"50.000,00",Sudah dibayar 24 Juli 26,"100.000,00",Disimpan,Tonase Semarang dr 32 ton,,
83,"Rabu, 19 Agustus 2026","Kamis, 20 Agustus 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),130.730,"29,70","29,30","  3.830.389,00 ","  38.303,89 ",,,"1.950.000,00","1.586.635,11","0,09","0,40","310.900,00","155.450,00",-,"35.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,"Tonase Semarang dr 32 ton, Pot 1 ton",,
84,"Jumat, 21 Agustus 2026","Selasa, 25 Agustus 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),177.561,"29,38","29,38","  5.216.742,18 ","  52.167,42 ",,,"2.950.000,00","2.014.574,76","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"100.000,00",Sudah dibayar 26 Agst 26,"100.000,00",Disimpan,"34,04 jadi 33,96 selisih 80kg",,
85,"Rabu, 26 Agustus 2026","Sabtu, 29 Agustus 2026",SIDOARJO,SUPERIOR PRIMA SUKSES (KRIAN),163.410,"30,50","30,50","  4.984.005,00 ",,,"  130.000,00 ","2.600.000,00","2.054.005,00","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"100.000,00",Sudah dibayar 1 Spt 26,"100.000,00",Disimpan,"Grobogan Tonase 32 ton, potong tanpa toleransi. Pot 2 ton",,
86,"Selasa, 1 September 2026","Rabu, 2 September 2026",SEMARANG,VARIA USAHA BETON (SAYUNG),130.730,"30,46","30,46","  3.982.035,80 ","  39.820,36 ",,,"1.950.000,00","1.892.215,44","0,09","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,,,
87,"Rabu, 2 September 2026","Jumat, 4 September 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),130.730,"31,40","31,40","  4.104.922,00 ","  41.049,22 ",,,"2.000.000,00","1.963.872,78","0,09","0,00","0,00","0,00",-,"35.000,00","0,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,"Tonase Semarang dr 32 ton, lebih 10 kg, terbayar. Pot 100.000 (2ton)",,
88,"Sabtu, 5 September 2026","Rabu, 9 September 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),177.561,"34,04","33,96","  6.029.971,56 ","  60.299,72 ",,,"3.000.000,00","2.569.671,84","0,10","0,08","0,00","0,00",-,"50.000,00","200.000,00",Disimpan,Tidak Potong,Disimpan,"100.000,00",Sudah dibayar 12 Spt 26,"100.000,00",Disimpan,"34,04 jadi 33,96 selisih 80kg",,
89,"Sabtu, 12 September 2026",,SALATIGA,TRIPILAR (REMBANG SALATIGA),153.791,"34,04","33,96","  5.222.742,36 ","  52.227,42 ",,,"2.600.000,00","2.335.514,94","0,10","0,08","0,00","0,00",-,"45.000,00","135.000,00",Disimpan,Tidak Potong,Disimpan,"0,00",-,"100.000,00",Disimpan,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"398.129.561,74","3.829.467,29",,,"197.631.000,00","180.899.064,45",,,"2.311.060,00","1.155.530,00","621.550,00",,"3.500.000,00","1.510.000,00","50.000,00","(750.000,00)","1.750.000,00","900.000,00","8.900.000,00","2.600.000,00",,,
,,,,,,,,,,,,,,,,,,,,,Kasbon 700+lampu200,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,September,"1.526.271,34","408.236,84","1.118.034,50","1.526.271,34",,,,,1990000,700000,,,,,,,,
,,,,,,,,,,,,Oktober,"22.875.893,21","8.563.000,00","14.312.893,21","22.875.893,21",,,,Khoirul Tab+ins,1.720.000,Sudah dibayar 17 mar 26,,,,,,,,
,,,,,,,,,,,,November,"19.460.193,04","5.400.000,00","14.060.193,04","19.460.193,04",,,,,,,,,,,,,,
,,,,,,,,,,,,Desember ,"17.869.303,04","5.345.000,00","12.524.303,04","17.869.303,04",,,,Klaim tonase dan Ban Belum ,,,,,,,,,,
,,,,,,,,,,,,Januari,"15.299.252,86","8.480.600,00","6.818.652,86","15.299.122,86",,,,,,,,,,,,,,
,,,,,,,,,,,,Februari,"16.567.778,72","6.993.600,00","9.574.178,72","16.911.028,72",,,,,,,,,,,,,,
,,,,,,,,,,,,Maret,"9.525.951,27","1.703.600,00","7.822.351,27","3.257.994,41",,,,,,,,,,,,,,
,,,,,,,,,,,,April,"12.800.342,42","20.223.600,00","-7.423.257,58",,,,,,,,,,,,,,,
,,,,,,,,,,,,Mei ,"15.275.653,23","21.208.600,00","-5.932.946,77",,,,,,,,,,,,,,,
,,,,,,,,,,,,Juni,"13.147.417,68","5.928.600,00","7.218.817,68",,,,,,,,,,,,,,,
,,,,,,,,,,,,Juli,"16.327.104,97","4.307.310,00","12.019.794,97",,,,,,,,,,,,,,,
,,,,,,,,,,,,Agustus,"11.462.627,68","5.893.600,00","5.569.027,68",,,,,,,,,,,,,,,
,,,,,,,,,,,,September,"8.761.275,00",,"8.761.275,00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Koreksi,"172.137.789,45","94.455.746,84","77.682.042,61","97199806,62",,,,,,,,,,,,,,
