NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR , OMSET , PAJAK 1% , POT LJU 2% , UJ GRB 5% , SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,CATATAN,,
13,"Minggu, 9 November 2025","Senin, 10 November 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"31,24","  5.938.099,20 ","  59.380,99 ",,,"2.800.000,00","2.978.718,21",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 14 Nov 25 4rit,"31.26 jadi 31.24 selisih 20kg, Pembayaran Kasbon mas Rul ke 6 100.000",,
14,"Selasa, 11 November 2025","Kamis, 13 November 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"33,65","  6.396.192,00 ","  63.961,92 ",,,"2.800.000,00","3.332.230,08",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 14 Nov 25 4rit,"33.66 jadi 31.65 selisih 10kg, Pembayaran Kasbon mas Rul ke 7 100.000",,
15,"Sabtu, 15 November 2025","Senin, 17 November 2025",UNGARAN,KH BETON (UNGARAN),190.080,,"31,29","  5.947.603,20 ","  59.476,03 ",,,"2.800.000,00","2.938.127,17",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"50.000,00",Sudah dibayar 19 Nov 25,"100.000,00",Sudah dibayar 14 Nov 25 4rit,"31,18 jadi 31,29 lebih 110kg. Mas Mawan Lunas (4rit hijau, 2rit putih), Pembayaran Kasbon mas Rul ke 8 100.000",,
16,"Sabtu, 15 November 2025","Sabtu, 15 November 2025",BLORA,PERDANA MULIA BETON (RANDUBLATUNG),101.477,,"31,86","  3.233.057,22 ","  32.330,57 ",,,"1.700.000,00","1.370.726,65",-,-,-,-,-,"30.000,00","30.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 25 Nov 25 3rit,,,
17,"Sabtu, 22 November 2025","Minggu, 23 November 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,,"32,95","  3.840.454,30 ","  38.404,54 ",,,"1.900.000,00","1.732.049,76",-,-,-,-,-,"35.000,00","70.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 25 Nov 25 3rit," 33.26 jadi 32.95, selisih 310kg",,
18,"Senin, 24 November 2025","Sabtu, 29 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,,"31,43","  5.974.214,40 ","  59.742,14 ",,,"2.800.000,00","2.864.472,26",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"150.000,00",Sudah dibayar 2 Des 25,"100.000,00",Sudah dibayar 25 Nov 25 3rit,"31.72 jadi 31.43, selisih 290kg, Pembayaran Kasbon mas Rul ke 9 100.000, 25 Nov 25 Mas Mawan 3 rit (3 rit putih, 3 rit hijau)",,
19,"Selasa, 2 Desember 2025","Rabu, 3 Desember 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,,"30,11","  5.723.308,80 ","  57.233,09 ",,,"2.800.000,00","2.766.075,71",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 13 Des 25 5rit," 30.50 jadi 30.11, selisih 390kg, Pembayaran Kasbon mas Rul ke 10 100.000",,
20,"Jumat, 5 Desember 2025","Sabtu, 6 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,,"35,06","  4.086.383,24 ","  40.863,83 ",,,"1.900.000,00","1.905.519,41",-,-,-,-,-,"35.000,00","140.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,
21,"Minggu, 7 Desember 2025","Senin, 8 Desember 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"35,86","  3.953.435,90 ","  39.534,36 ",,,"1.800.000,00","1.763.901,54",-,-,-,-,-,"50.000,00","250.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 13 Des 25 5rit,35.98 jadi 35.86 selisih 120kg,,
22,"Selasa, 9 Desember 2025","Kamis, 11 Desember 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,,"33,33","  3.884.744,82 ","  38.847,45 ",,,"1.900.000,00","1.725.897,37",-,-,-,-,-,"35.000,00","70.000,00",Sudah dibayar 17 Mar 26,-,,"50.000,00",Sudah dibayar 12 Des 25,"100.000,00",Sudah dibayar 13 Des 25 5rit,"33,72 jadi 33.30 selisih 420kg",,
23,"Sabtu, 13 Desember 2025","Minggu, 14 Desember 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"32,56","  3.589.622,78 ","  35.896,23 ",,,"1.800.000,00","1.703.726,56",-,-,-,-,-,"50.000,00","(50.000,00)",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 13 Des 25 5rit,"32.62 jadi 32.56 selisih 60kg, 13 Des 25 Mas Mawan 10 rit (5 rit putih, 5 rit hijau), salah UJ 50rb",,
24,"Minggu, 14 Desember 2025","Selasa, 16 Desember 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"33,20","  3.660.180,48 ","  36.601,80 ",,,"1.800.000,00","1.573.578,68",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,-,,"50.000,00",Sudah dibayar 20 Des 25,"100.000,00",Sudah dibayar 20 Des 25 5rit,33.5 jadi 33.2 selisih 300kg,,
