NO,TANGGAL,PENGELUARAN,,NOMINAL,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,"Jumat, 31 Oktober 2025",STNK 3/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Sabtu, 1 November 2025",Oli Rem Jumbo 1 Liter,1 pcs,"85.000,00",RSP Electric,,,,,,,,
,"Senin, 3 November 2025",Filter Solar Atas,1 pcs,"50.000,00",Jaya Subur,,,,,,,,
,,Coolant Hikari 5 Liter,1 galon,"35.000,00",Jaya Subur,,,,,,,,
,,Tutup Radiator Ori,1 pcs,"75.000,00",Jaya Subur,Karet sudah rusak,,,,,,,
,,Bos Boogie Lohan Kanan,2 pcs,"170.000,00",Jaya Subur,Boogie/Trunion Kanan ,,,,,,,
,,Kawel Lohan ,2 pcs,"350.000,00",Jaya Subur,,,,,,,,
,"Senin, 3 November 2025",Jasa Setting Mesin,,"250.000,00",Pak Dedi Tuban,,,,,,,,
,,Jasa Bongkar Pasang Vacum Boost Pump + Setting Vacum,,"200.000,00",Pak Dedi Tuban,,,,,,,,
,,Storing,,"100.000,00",Pak Dedi Tuban,,,,,,,,
,"Selasa, 4 November 2025",Tambal Ban Kanan Depan + Impact,,"65.000,00",Putra Nusantara Rembang ,Ban Kanan Depan Bocor Marset Lipat,,,,,,,
,,Marset,,"35.000,00",Putra Nusantara Rembang ,,,,,,,,
,"Kamis, 6 November 2025",Impact Tuker Ban Cadangan ,,"20.000,00",Putra Nusantara Rembang ,Ban Kanan Depan Bocor Marset Lipat,,,,,,,
,"Jumat, 7 November 2025",Tuker Tambah Velg Bekas,,"650.000,00",Rizky Jaya Ban Sluke,Velg cadangan dituker tambah,,,,,,,
,,Tambal + Impact,,"45.000,00",Rizky Jaya Ban Sluke,,,,,,,,
,,Jasa Bongkar Pasang,,"40.000,00",Rizky Jaya Ban Sluke,,,,,,,,
,,Marset,,"40.000,00",Rizky Jaya Ban Sluke,,,,,,,,
,"Sabtu, 8 November 2025",Spion Tanduk Kiri,,"100.000,00",Las 5758 Rembang ,,,,,,,,
,"Minggu, 9 November 2025",Tambal Ban Kanan Depan + Impact,,"50.000,00",Dina Sluke,Ban Kanan Depan Bocor Baut,,,,,,,
,"Selasa, 11 November 2025",Las Tamper Per Belakang,,"150.000,00",Pak Nor Tuban,Per Renggang,,,,,,,
,,Las Bumper Pipa Tambahan Belakang,,"50.000,00",Pak Nor Tuban,Kena Ganjel di KH,,,,,,,
,"Selasa, 11 November 2025",Cuci Truk,,"70.000,00",Asiyah  Tuban,,,,,,,,
,,HCL ,2 pcs ,"40.000,00",Aisyah  Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",Asiyah  Tuban,,,,,,,,
,"Rabu, 19 November 2025",Karet Stabil HOP Ori,4 pcs ,"1.000.000,00",Jaya Subur,Karet Aus,,,,,,,
,,Karet Stoper Belakang,2 pcs ,"200.000,00",Jaya Subur,,,,,,,,
,,Bongkar Pasang Karet Stabil/Dingdong Belakang ,4 pcs ,"200.000,00",Mbah Datuk Tuban,,,,,,,,
,,Jasa Kirim Part,,"50.000,00",Mbah Datuk Tuban,,,,,,,,
,"Rabu, 19 November 2025",Las Kenteng Spakbor Kiri Belakang,,"200.000,00",Pak Nor Tuban,,,,,,,,
,,Las Karbit Sok Pipa & Kendangan Knalpot,,"130.000,00",Pak Nor Tuban,,,,,,,,
,"Jumat, 21 November 2025",Las Tambahan Plat Bantalan Per Belakang ,2 pcs,"200.000,00",Pak Nor Tuban,,,,,,,,
,"Jumat, 21 November 2025",Service Doorlock Pintu Kanan Tidak Bisa Dibuka ,,"50.000,00",Mbah Datuk Tuban,,,,,,,,
,"Senin, 24 November 2025",Kontrol Angin,,"20.000,00",Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Filter Udara Mesin,,"10.000,00",Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Radiator,,"20.000,00",Adi Jaya Ban Iyus,,,,,,,,
,"Senin, 24 November 2025",Las Pasangan Kanal Pengaman Kiri ,2 pcs,"150.000,00",Pak Nor Tuban,,,,,,,,
,,Las Pembuatan Tempat Drigen Solar,,"50.000,00",Pak Nor Tuban,,,,,,,,
,"Senin, 24 November 2025",Jasa Setting Vacum Boost Pump dari 10 ke 12 + Gas & Storing ,,"250.000,00",Pak Dedy Tuban,,,,,,,,
,,Ganti Filter Solar Bawah,,"0,00",Pak Dedy Tuban,GPS 248.553 KM,,,,,,,
,"Selasa, 25 November 2025",Pak Udin Pengurus SILOG,,"150.000,00",SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Minggu, 30 November 2025",STNK 4/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Kamis, 4 Desember 2025",Stempet,,"50.000,00",Tambal Ban Putra Nusantara Rembang,,,,,,,,
,"Senin, 8 Desember 2025",Sporing Stir,,"150.000,00",Tambal Ban SIS Rembang,,,,,,,,
,,Stempet Boogie + Per,,"20.000,00",Tambal Ban SIS Rembang,,,,,,,,
,,,,,,,,,,,,,
,"Rabu, 10 Desember 2025",Tambal Ban Impact,,"60.000,00",Tambal Barokah Pati,Bocor Kena Plat,,,,,,,
,,Kampas,,"15.000,00",Tambal Barokah Pati,,,,,,,,
,"Jumat, 12 Desember 2025",Bongkar Pasang Impact,,"60.000,00",Tambal Ban SIS Rembang,,,,,,,,
,,Ganti Baut Roda,,"50.000,00",Tambal Ban SIS Rembang,,,,,,,,
,,Press Ban Luar,,"150.000,00",Tambal Ban SIS Rembang,,,,,,,,
,"Kamis, 18 Desember 2025",Perbaikkan Radiator + nambal bocor + press upper tank,,"380.000,00",Enggal Maju Jenu,Radiator Bocor Keropos,,,,,,,
,,Filter Solar Bawah,1 pcs,"100.000,00",Mbah Datuk,Stok Filter Solar Bawah 1 pcs,,,,,,,
,,Servis Perpak PTO Bocor,,"150.000,00",Mbah Datuk,,,,,,,,
,,Servis Jaring Hori Bocor ,,"100.000,00",Mbah Datuk,,,,,,,,
,,Ganti Karet Stopper Belakang,2 Pcs,"100.000,00",Mbah Datuk,,,,,,,,
,,Baut 12 Baja,4 pcs,"20.000,00",Mbah Datuk,Baut Patah,,,,,,,
,,Service Cross Joint Hori,,"100.000,00",Mbah Datuk,Baut Patah,,,,,,,
,"Kamis, 18 Desember 2025",Ganti Arslet No 4,"1,2m2","1.400.000,00",Pak Yanto Pereng,Sobek Bongkaran Lam,,,,,,,
,,Jasa Bongkar Pasang,,"450.000,00",Pak Yanto Pereng,,,,,,,,
,"Selasa, 23 Desember 2025",Tambal Ban Engkel Kanan Dalam,,"65.000,00",Guntur Putra Juwana,Velg Engkel Kanan  DalamPecah,,,,,,,
,,Bongkar Pasang Ban Impact ,,"50.000,00",Guntur Putra Juwana,,,,,,,,
,,Tambah Angin ,,"25.000,00",Guntur Putra Juwana,,,,,,,,
,"Rabu, 24 Desember 2025",Oper Velg Beli Bekas ,,"30.000,00",Hj. Tarsilah,Tuker Velg Cadangan,,,,,,,
,"Kamis, 25 Desember 2025",Pak Udin Pengurus SILOG,,"150.000,00",SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Kamis, 25 Desember 2025",Seal Rem Belakang,4 pcs,"80.000,00",Mbah Datuk,,,,,,,,
,,Willbut / Tutup Debu,4 pcs,"80.000,00",Mbah Datuk,,,,,,,,
,,Stempet Rotari,2 pcs,"90.000,00",Mbah Datuk,,,,,,,,
,,Minyak Rem Jumbo,1 pcs,"70.000,00",Mbah Datuk,,,,,,,,
,,Ledeng Rem 1 Meter,,"40.000,00",Mbah Datuk,,,,,,,,
,,Seal Tromol Belakang,1 pcs,"70.000,00",Mbah Datuk,,,,,,,,
,,Pompa Solar,1 pcs,"80.000,00",Mbah Datuk,,,,,,,,
,,Jasa Bongkar Pasang Seal Rem Belakang Kanan Kiri Tronton,,"400.000,00",Mbah Datuk,,,,,,,,
,,Las Kuningan Ledeng Rem,,"60.000,00",Mbah Datuk,,,,,,,,
,,Ledeng Rem + Pompa Solar,,"50.000,00",Mbah Datuk,,,,,,,,
,"Kamis, 25 Desember 2025",Tuker Tambah Velg,,"600.000,00",Temen Mas Rul,Velg Pecah,,,,,,,
,"Sabtu, 27 Desember 2025",Perbaikkan Dinamo Wiper ,,"50.000,00",Temen Mas Rul,,,,,,,,
,"Minggu, 30 November 2025",STNK 5/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Selasa, 6 Januari 2026",Air Aki,1.5 liter ,"15.000,00",RSP Electric,,,,,,,,
,,Perbaikkan Indikator Level Air Radiator+Storing,,"200.000,00",RSP Electric,,,,,,,,
,"Selasa, 6 Januari 2026",Kaca Kanan Anjlok,,"100.000,00",Mbah Datuk,,,,,,,,
,"Rabu, 7 Januari 2026",Bongkar Pasang Ban Kanan Depan Bocor,,"50.000,00",Sanjaya Ban Pati,,,,,,,,
,,Marset,,"50.000,00",Sanjaya Ban Pati,,,,,,,,
,,Ban Dalam Profit ,,"200.000,00",Kembar Ban Pati,,,,,,,,
,"Rabu, 7 Januari 2026",Radiator Baru PTC RA0341,,"2.100.000,00",Indah Jaya Kudus,Bocor Lagi,,,,,,,
,,Jasa Ganti Radiator ,,"250.000,00",Mitra Diesel ,,,,,,,,
,,Coolant Mega Cool,2 Galon,"150.000,00",Mitra Diesel ,,,,,,,,
,,Coolant Master,2 Galon,"200.000,00",Mitra Diesel ,,,,,,,,
,,Coolant Mega Cool,2 Galon,"150.000,00",Mitra Diesel ,Jebol Klem,,,,,,,
,,Klem,2 pcs ,"30.000,00",Mitra Diesel ,,,,,,,,
,"Kamis, 8 Januari 2026",Ban Profit ADVANCE 1000 Kawat Set,2 pcs,"6.650.000,00",Caping Ban Demak,Ban Bekas Depan Bocor Terus & Tipis,,,,,,,
,,Ban Depan Bekas Dijual,2 pcs,"1.000.000,00",Tambal Ban Caping Ban Demak,,,,,,,,
,,Jasa Ganti Ban,,"35.000,00",Tambal Ban Caping Ban Demak,,,,,,,,
,,Tambal Ban,,"45.000,00",Tambal Ban Caping Ban Demak,,,,,,,,
,"Kamis, 8 Januari 2026",Stempet,,"50.000,00",Mbah I Rembang,,,,,,,,
,"Jumat, 9 Januari 2026",Coolant Hikari,1 Galon,"35.000,00",Jaya Subur,,,,,,,,
,"Jumat, 9 Januari 2026",3 Ban 1000 bekasi Pengganti Dari Iyu Dijual,3 pcs,"2.400.000,00",Mas Mawan,Belum Bayar ,,,,,,,
,"Selasa, 13 Januari 2026",GPS Easygo (SI) 6/12,,"122.100,00",,,,,,,,,
,"Selasa, 13 Januari 2026",GPS Inova Track (SBI) 5/12,,"166.500,00",,,,,,,,,
,"Rabu, 14 Januari 2026",Switch Level Radiator ,,"185.000,00",RSP Elctric,GPS 254.165 KM,,,,,,,
,,Ganti Filter Solar Atas Bawah + Storing,,"100.000,00",,,,,,,,,
,"Rabu, 14 Januari 2026",Per Bekas Terjual,2 pcs,"1.300.000,00",Mbah Datuk Tuban ,Laku 1.400.000 (100.000 Mbah Datuk),,,,,,,
,"Senin, 19 Januari 2026",Cuci Truk HCL 1,,"140.000,00",Asiyah,,,,,,,,
,"Rabu, 21 Januari 2026",Baut Roda,9 pcs,"900.000,00",Temen Mas Rul,,,,,,,,
,"Minggu, 25 Januari 2026",Las Tambal Knalpot ,,"100.000,00",Pak Nor Tuban,,,,,,,,
,"Minggu, 25 Januari 2026",Oli Meditran SX 15 Liter,15 Liter,"600.000,00",Mbah Datuk,"GPS 255.392 KM, Truk 255.635",,,,,,,
