,,,,,,,,,,,,,,,,,,
,NO,ZONE KODE,KOTA / KABUPATEN,DESTINATION KODE,TUJUAN,TARIF OA,TONASE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Semen Bulk : GROBOGAN - RUTE JAWA TIMUR,,,,,,,,,,,,,,,,,
,,0478, PROBOLINGGO KOTA,047802,Mayangan, Rp 194.480 , Rp 60.000 ,," Rp 10.455,90 "," Rp 4.182,36 "," Rp 129.653,16 "," Rp 194.479,74 "," Rp 60.000,00 ", Rp 6.028.872 , Rp 3.200.000 , Rp 2.828.872 ," Rp 324.132,90 "," Rp 3.153.005,01 "
,,0405, PROBOLINGGO,040608,Paiton, Rp 203.330 , Rp 65.000 ,," Rp 10.931,70 "," Rp 4.372,68 "," Rp 135.553,08 "," Rp 203.329,62 "," Rp 65.000,00 ", Rp 6.303.218 , Rp 3.400.000 , Rp 2.903.218 ," Rp 338.882,70 "," Rp 3.242.100,89 "
,,0480, SITUBONDO,048014,Banyuputih, Rp 243.082 , Rp 80.000 ,," Rp 13.068,90 "," Rp 5.227,56 "," Rp 162.054,36 "," Rp 243.081,54 "," Rp 80.000,00 ", Rp 7.535.528 , Rp 4.000.000 , Rp 3.535.528 ," Rp 405.135,90 "," Rp 3.940.663,85 "
,,0401, SURABAYA,040131,Karangpilang, Rp 148.634 , Rp 50.000 ,," Rp 7.991,10 "," Rp 3.196,44 "," Rp 99.089,64 "," Rp 148.634,46 "," Rp 50.000,00 ", Rp 4.607.668 , Rp 2.600.000 , Rp 2.007.668 ," Rp 247.724,10 "," Rp 2.255.392,52 "
,,0401, SIURABAYA,040114,Benowo, Rp 144.572 , Rp 45.000 ,," Rp 7.772,70 "," Rp 3.109,08 "," Rp 96.381,48 "," Rp 144.572,22 "," Rp 45.000,00 ", Rp 4.481.739 , Rp 2.450.000 , Rp 2.031.739 ," Rp 240.953,70 "," Rp 2.272.692,63 "
,,0401, SURABAYA,040112,Sambikerep, Rp 148.634 , Rp 50.000 ,," Rp 7.991,10 "," Rp 3.196,44 "," Rp 99.089,64 "," Rp 148.634,46 "," Rp 50.000,00 ", Rp 4.607.668 , Rp 2.500.000 , Rp 2.107.668 ," Rp 247.724,10 "," Rp 2.355.392,28 "
,,0419, GRESIK,041901,Gresik, Rp 140.510 , Rp 45.000 ,," Rp 7.554,30 "," Rp 3.021,72 "," Rp 93.673,32 "," Rp 140.509,98 "," Rp 45.000,00 ", Rp 4.355.809 , Rp 2.300.000 , Rp 2.055.809 ," Rp 234.183,30 "," Rp 2.289.992,48 "
,,0419, GRESIK,041901,Manyar, Rp 140.510 , Rp 45.000 ,," Rp 7.554,30 "," Rp 3.021,72 "," Rp 93.673,32 "," Rp 140.509,98 "," Rp 45.000,00 ", Rp 4.355.809 , Rp 2.300.000 , Rp 2.055.809 ," Rp 234.183,30 "," Rp 2.289.992,48 "
,,0420, PONOROGO,042010,Jetis, Rp 157.800 , Rp 50.000 ,," Rp 8.483,85 "," Rp 3.393,54 "," Rp 105.199,74 "," Rp 157.799,61 "," Rp 50.000,00 ", Rp 4.891.788 , Rp 2.600.000 , Rp 2.291.788 ," Rp 262.999,35 "," Rp 2.554.787,31 "
,,0461, SIDOARJO,046109,Taman, Rp 151.971 , Rp 50.000 ,," Rp 8.170,50 "," Rp 3.268,20 "," Rp 101.314,20 "," Rp 151.971,30 "," Rp 50.000,00 ", Rp 4.711.110 , Rp 2.700.000 , Rp 2.011.110 ," Rp 253.285,50 "," Rp 2.264.395,83 "
,,0473, BLITAR KABUPATEN,047307,Kademangan, Rp 166.842 , Rp 55.000 ,," Rp 8.970,00 "," Rp 3.588,00 "," Rp 111.228,00 "," Rp 166.842,00 "," Rp 55.000,00 ", Rp 5.172.102 , Rp 2.750.000 , Rp 2.422.102 ," Rp 278.070,00 "," Rp 2.700.172,09 "
,,0418, LAMONGAN,041827,Pucuk, Rp 123.898 , Rp 40.000 ,," Rp 6.661,20 "," Rp 2.664,48 "," Rp 82.598,88 "," Rp 123.898,32 "," Rp 40.000,00 ", Rp 3.840.848 , Rp 2.150.000 , Rp 1.690.848 ," Rp 206.497,20 "," Rp 1.897.345,61 "
,,0404, KEDIRI,040418,Papar, Rp 161.515 , Rp 50.000 ,," Rp 8.683,60 "," Rp 3.473,44 "," Rp 107.676,64 "," Rp 161.514,96 "," Rp 50.000,00 ", Rp 5.006.964 , Rp 2.700.000 , Rp 2.306.964 ," Rp 269.191,60 "," Rp 2.576.155,16 "
,,0404, KEDIRI,040401,Kandat, Rp 165.353 , Rp 50.000 ,," Rp 8.889,95 "," Rp 3.555,98 "," Rp 110.235,38 "," Rp 165.353,07 "," Rp 50.000,00 ", Rp 5.125.945 , Rp 2.750.000 , Rp 2.375.945 ," Rp 275.588,45 "," Rp 2.651.533,75 "
